genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [2], [2], [3], [], [], [1, 1, 0, 0, 0, 1], [0]]",1.1724477434489953,"[1, 1, 1, 1, 0, 0, 1, 0]",5,((Constant**Constant)**Constant),((0.31884390513285554**0.39996660697044883)**0.8511585623202752),1.1428264998256323,{'errortest': 1.1989331607931106}
"[[0], [0], [2, 1], [3, 3, 1], [2, 0], [1, 3, 1, 1, 1], [1, 1, 0, 0, 0, 1], [0, 1, 1]]",1.2474404120311688,"[1, 1, 2, 3, 2, 4, 5, 3]",7,(Constant**Constant)-(Constant/(x[0]-x[1]-x[1])),(0.3622903014198531**0.501646463099852)-(0.6300066987316325/(x[0]-x[1]-x[1])),1.2178454175058941,{'errortest': 1.273410910429702}
"[[0], [2], [1, 1], [2, 0], [1, 1, 1], [0, 3, 1, 1, 1], [1, 0, 1, 1, 1, 0], [1, 1]]",1.588398987668599,"[1, 1, 1, 2, 3, 5, 6, 2]",7,((((Constant+x[1])**Constant)/(Constant-Constant)-(Constant-x[1]))**Constant),((((0.7046522155688024+x[1])**0.27746472620994456)/(0.3251396910389821-0.15939587814841716)-(0.18784293247134476-x[1]))**0.14855575560588252),1.63794304263661,{'errortest': 1.5782501766063786}
"[[0], [3], [2, 1], [3, 3, 1], [2, 0], [1, 3, 1, 1, 1], [1, 1, 1, 0, 0, 1], [0, 0, 1]]",1.5972039443830348,"[1, 1, 0, 0, 0, 0, 1, 0]",3,Constant,0.24566571668126258,1.5677179252867917,{'errortest': 1.6213828460224378}
"[[0], [3], [2, 1], [1], [1, 0], [2, 0, 3], [1, 1, 0, 0, 0, 1], [0]]",1.6382780991758612,"[1, 1, 0, 0, 0, 0, 1, 0]",3,Constant,0.20409589610736478,1.6088049750126643,{'errortest': 1.6622941766917922}
"[[0], [2], [1], [3, 3, 1], [0, 0], [1, 3, 1, 1, 1], [0, 0], [0, 0, 0]]",1.8402633799935033,"[1, 1, 1, 2, 0, 1, 2, 2]",6,((x[0]-x[0])**Constant),((x[0]-x[0])**0.1352720480864048),1.8108503236231934,{'errortest': 1.8635799372158997}
"[[0], [1], [2, 1], [3, 3, 1], [1, 0, 0, 2], [0, 3, 1, 0, 1, 1, 3], [0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 1]]",1.8442449133096397,"[1, 1, 2, 3, 2, 5, 6, 5]",7,((x[0]**Constant)+(x[1]/((x[0]-x[0])+Constant-x[1]))),((x[0]**0.045158819257533955)+(x[1]/((x[0]-x[0])+0.9896026763006355-x[1]))),1.8128854155682723,{'errortest': 1.868025544053549}
"[[0], [0], [0, 0], [3, 0, 1, 1], [1, 0, 2, 1, 1, 1], [0, 0, 0, 1, 2, 1, 0, 0, 3, 3, 3], [1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1], [0, 0, 0, 1]]",1.9667262552921339,"[1, 1, 2, 4, 6, 11, 12, 3]",7,Constant+(Constant+x[0])+Constant-Constant*(Constant-(Constant+x[0]))+((x[0]/Constant)/(Constant/Constant)),0.984118267157244+(0.07998116538596522+x[0])+0.383651586665409-0.8850281750191767*(0.42353847896008046-(0.3981720257775212+x[0]))+((x[0]/0.5617643582648357)/(0.842748002112403/0.12449041159523044)),2.047692106686172,{'errortest': 1.9651783212252327}
"[[0], [1], [1, 1], [0, 3, 3, 1], [0, 2, 0, 0, 2, 0], [3, 1, 3, 2, 1, 1, 3, 2, 0], [0, 0, 1, 0, 1, 1, 1, 0, 1, 1], [1, 1, 1, 0, 1]]",2.3010761692278408,"[1, 1, 2, 4, 4, 8, 9, 4]",7,((x[1]/x[1]-Constant/x[1])*(Constant-(Constant-Constant/x[0]*Constant))),((x[1]/x[1]-0.13648248796396412/x[1])*(0.22722197118130416-(0.7503555603208409-0.23455078970779408/x[0]*0.2176685869207885))),2.274321153713552,{'errortest': 2.3225429415067604}
"[[0], [0], [2, 1], [3, 3, 1], [2, 0], [0, 3, 3, 1], [0, 1, 1, 1, 0], [1, 1]]",8.947579085573013,"[1, 1, 2, 3, 2, 4, 5, 2]",7,(x[1]**Constant)+(Constant/(Constant/Constant-x[1])),(x[1]**0.2896886151774012)+(0.057688930540807926/(0.6410677061918681/0.5742751482631107-x[1])),9.127785042774606,{'errortest': 8.924701952908952}
