K,Rem,frictionFactor
0.6,2824.60456124336,4.696362708738021
0.6,2824.60456124336,4.795108328693351
0.6,2352.302464547476,6.84625814787787
0.6,2000.632597049047,6.484847387956591
0.6,1878.7356038765984,6.637231677309721
0.6,1770.5533412400448,7.543708772046585
0.6,1657.004799801697,8.174981690987373
0.6,2824.514483228409,4.696446540281366
0.6,2824.514483228409,4.795262401249008
0.6,2352.1674369819034,6.846588122618626
0.6,2000.46033766802,6.4852757147322535
0.6,1878.513930484908,6.637788567322208
0.6,1770.2879738127413,7.544489875136384
0.6,1656.698330985831,8.175974124060573
0.6,2824.352349175738,4.6965974446015855
0.6,2824.352349175738,4.795519210845327
0.6,2351.94240620551,6.847125927392589
0.6,2000.1796466587573,6.48597041897925
0.6,1878.1545090715472,6.638701121034052
0.6,1769.8532986001062,7.54576961764224
0.6,1656.1964640130716,8.177594642904005
0.6,2824.145189811766,4.696790280901504
0.6,2824.145189811766,4.7958873525725405
0.6,2351.619895148723,6.847908339724275
0.6,1999.77143072698,6.486954838142291
0.6,1877.6454323740372,6.639981489354793
0.6,1769.2437825888485,7.547561986704929
0.6,1655.4940750860335,8.179887825297605
0.6,2823.865996184778,4.697050215753411
0.6,2823.865996184778,4.796349750159529
0.6,2351.214936413719,6.848886606627092
0.6,1999.2612639514948,6.4882292360231295
0.6,1876.9868075396344,6.64165382480524
0.6,1768.448303635553,7.549894688661534
0.6,1654.580833652547,8.18284018185163
0.6,2823.523791986788,4.6973688848243125
0.6,2823.523791986788,4.796923589645607
0.6,2350.712572950851,6.850097598946821
0.6,1998.6300911698777,6.489782361029244
0.6,1876.1847574492092,6.643683106950877
0.6,1767.4839961371283,7.5527282304018515
0.6,1653.4728702617797,8.186438505302794
0.6,2823.127601157472,4.697737924088472
0.6,2823.127601157472,4.797591814583589
0.6,2350.1278509254785,6.85151708442051
0.6,1997.8907583040711,6.491603013411774
0.6,1875.2454256854696,6.64608186886341
0.6,1766.3454686141615,7.556090758629277
0.6,1652.1599878027569,8.190699146733321
0.6,2822.668441205485,4.698165746708198
0.6,2822.668441205485,4.798371645682556
0.6,2349.445837016743,6.853169812728322
0.6,1997.0306308102283,6.493726464829742
0.6,1874.1510579187436,6.648850909834335
0.6,1765.0330175639551,7.559956635980133
0.6,1650.6531492269032,8.19562417021266
0.6,2822.146339186666,4.698652384790083
0.6,2822.146339186666,4.799254617575954
0.6,2348.674097338954,6.855031616914142
0.6,1996.062580826579,6.496118460794632
0.6,1872.919818597472,6.651991153611736
0.6,1763.5469844644256,7.564340943194169
0.6,1648.9475602490024,8.201201279066758
0.6,2821.561325858631,4.699197874865279
0.6,2821.561325858631,4.8002408440146045
0.6,2347.8127097645915,6.857115096654498
0.6,1994.9803822346785,6.498791218882635
0.6,1871.54597405121,6.655503649172398
0.6,1761.887755552375,7.569259035283576
0.6,1647.038507241671,8.207447833819623
0.6,2820.922433254449,4.699793862622973
0.6,2820.922433254449,4.8013304521255336
