genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [1], [0, 0], [1, 3, 0, 1], [0, 0, 2, 0, 0, 0], [1, 0, 3, 3, 2, 0, 0, 2, 2, 0, 2], [1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1], [0, 1, 0, 0, 0, 1]]",3772.8963534324785,7,((Constant-x[0]+Constant/x[1])/x[0]*x[0]+x[0]+x[1]*(Constant*Constant+Constant*Constant)),((0.1779995792107819-x[0]+0.5336678907896751/x[1])/x[0]*x[0]+x[0]+x[1]*(0.22270365749916687*0.8500314434909295+0.904970358897294*0.750242910550725)),3481.781368458677,{'errortest': 3785.3061722473},"[1, 1, 2, 4, 6, 11, 12, 6]"
"[[0], [2], [0, 3], [1, 2], [2, 2, 0, 2, 2, 0], [0, 1, 3, 1, 2, 1, 3, 2], [0, 0, 0, 0, 0], [0, 1, 1, 1, 0]]",4343.263242335105,7,((x[0]+x[1])-(x[1]/x[1]**Constant)**Constant),((x[0]+x[1])-(x[1]/x[1]**0.3893250567276024)**0.2547715982586911),4008.023658063719,{'errortest': 4357.551321189233},"[1, 1, 1, 2, 3, 3, 4, 4]"
"[[0], [1], [3, 2], [0, 2, 1, 0], [1, 1, 1, 2, 2, 2], [1, 3, 0, 0, 2, 1, 0, 1], [0, 1, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0]]",4344.559091967377,7,(x[1]-((Constant/x[1])+(Constant+x[0])**Constant)),(x[1]-((0.44749766932194757/x[1])+(0.6214878787841078+x[0])**0.010053637595133558)),4009.2749131535493,{'errortest': 4358.850472309987},"[1, 1, 2, 1, 2, 4, 5, 3]"
"[[0], [0], [1, 3], [3, 0], [2, 2], [0, 1, 0], [1, 1, 0, 0], [0, 1]]",4344.9771612183085,7,(Constant+Constant-x[0])+x[1],(0.5355633259839869+0.13688791728698324-x[0])+x[1],4009.6893685634554,{'errortest': 4359.269762395771},"[1, 1, 2, 2, 2, 3, 4, 2]"
"[[0], [3], [], [], [], [], [0], [1]]",4345.42768882122,4,x[1],x[1],4010.1418714864326,{'errortest': 4359.719060171116},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [2], [], [], [], [0], [1]]",4345.42768882122,4,x[1],x[1],4010.1418714864326,{'errortest': 4359.719060171116},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0, 1], [1]]",4345.42768882122,4,x[1],x[1],4010.1418714864326,{'errortest': 4359.719060171116},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [1]]",4345.42768882122,4,x[1],x[1],4010.1418714864326,{'errortest': 4359.719060171116},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [1], [0, 0], [1, 1, 1, 3], [0, 0, 1, 0, 0, 1], [1, 0, 2, 3, 3, 0, 1, 3, 3, 1, 1, 0], [0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0], [0, 1, 0, 1, 0, 0, 1, 1]]",4345.434239494261,7,((x[0]-x[1]+x[0]*x[1])/((x[0]/Constant)+x[0]-Constant)/(x[1]/Constant-(Constant-Constant))+x[1]),((x[0]-x[1]+x[0]*x[1])/((x[0]/0.05918901141709754)+x[0]-0.4332528381300237)/(x[1]/0.8394182479441057-(0.024595484710055793-0.9961349993958143))+x[1]),4010.148529659434,{'errortest': 4359.725542889451},"[1, 1, 2, 4, 6, 12, 13, 8]"
"[[0], [1], [3, 3], [1, 1], [0, 1, 0, 0], [1], [1, 0, 1, 1, 1, 0, 1, 0], [1, 1, 1]]",4347.475501654408,5,(Constant-x[1]),(0.9128908269703477-x[1]),4012.2198006040344,{'errortest': 4361.747176230086},"[1, 1, 2, 0, 0, 1, 2, 1]"
"[[0], [2], [0], [1, 0], [0, 2, 0, 2], [3, 2, 1, 1, 3, 3], [1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0]]",4363.6690907064785,7,((Constant/Constant*x[0])-x[1]-x[1]/x[1]**Constant),((0.9761831597413929/0.7589153525191162*x[0])-x[1]-x[1]/x[1]**0.648826084995549),4027.9206592491137,{'errortest': 4377.966105717083},"[1, 1, 1, 2, 4, 5, 6, 4]"
"[[0], [2], [0, 0], [1, 0], [0, 0, 2, 0], [0, 1, 3, 1, 0, 3, 1], [0, 0, 1, 1, 0, 0, 1], [1, 0, 1, 1]]",5258.8970149118595,7,((x[1]+x[0]-Constant/Constant)-x[1]+x[1]/Constant**Constant),((x[1]+x[0]-0.5285609599989598/0.8684052167950437)-x[1]+x[1]/0.21849516653725842**0.12534215552445982),4853.196322215057,{'errortest': 5276.186690461485},"[1, 1, 1, 2, 4, 6, 7, 4]"
"[[0], [0], [2, 2], [0, 2], [1, 0, 0], [2, 0, 1, 3, 2], [0, 0, 1, 1, 0, 1], [0, 1, 0]]",5875.843428730707,7,((x[0]*x[1])+Constant-Constant**Constant)/((x[0]*Constant**Constant)**Constant),((x[0]*x[1])+0.3932925419271991-0.40202428912910015**0.1474060857175553)/((x[0]*0.4696661651884425**0.8825754649456329)**0.25208066437138965),5432.688106550406,{'errortest': 5891.617978380034},"[1, 1, 2, 2, 3, 5, 6, 3]"
"[[0], [1], [0, 0], [1, 1, 1, 3], [1, 0, 1, 1, 1, 1], [1, 3, 0, 2, 3, 0, 1, 3, 3, 1, 1, 0], [0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1], [0, 1, 0, 0, 0, 0, 1]]",31142.44894999745,7,(((x[0]-Constant)/Constant+Constant)*((x[1]/Constant)+(Constant-Constant))/((x[0]/Constant)-(x[0]-x[0]))+Constant),(((x[0]-0.8288810173027018)/0.49579021747762286+0.9809511500192193)*((x[1]/0.07253725597169591)+(0.16815063414274678-0.16032134501483997))/((x[0]/0.36178037385030526)-(x[0]-x[0]))+0.8399740404562531),28775.332793641664,{'errortest': 31227.69039896135},"[1, 1, 2, 4, 6, 12, 13, 5]"
"[[0], [0], [1, 0], [0, 0, 3, 1], [0, 1, 0, 1, 2, 2], [1, 0, 2, 2, 3, 1, 0, 3, 1, 2, 1], [1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1], [0, 0, 1, 1, 0]]",32642.663956104087,7,(Constant-x[0]+(Constant*Constant)*x[0]/Constant-(x[1]+x[1]))/Constant-(x[0]*Constant),(0.7188732821505452-x[0]+(0.398043141172268*0.12314145587846625)*x[0]/0.4222259857022833-(x[1]+x[1]))/0.2663499353575556-(x[0]*0.0423383759657181),30125.159118090483,{'errortest': 32749.888763082326},"[1, 1, 2, 4, 6, 10, 11, 5]"
"[[0], [0], [3, 2], [2], [0], [0, 1], [1, 1, 0], [0]]",9999999.0,7,Constant+((Constant-x[0]**Constant)**Constant),0.7125904521789305+((0.0069951981883557-x[0]**0.4671757415212091)**0.6090523081447661),9999999.0,{'errortest': 9999999},"[1, 1, 2, 1, 1, 2, 3, 1]"
"[[0], [2], [2], [1], [1, 0], [1, 0, 1], [0, 0, 0, 0], [0, 1, 0, 0]]",9999999.0,7,((((x[0]-x[1])+x[0]-x[0])**Constant)**Constant),((((x[0]-x[1])+x[0]-x[0])**0.7541900723475579)**0.4513297067334766),9999999.0,{'errortest': 9999999},"[1, 1, 1, 1, 2, 3, 4, 4]"
"[[0], [2], [1], [1, 3], [0, 2], [2, 1, 1], [1, 1, 1, 1], [0]]",9999999.0,6,(((Constant*Constant-Constant)-Constant)**Constant),(((0.8191853684809273*0.061316170051097796-0.9388731301425396)-0.16730683980660233)**0.2243350139693049),9999999.0,{'errortest': 9999999},"[1, 1, 1, 2, 2, 3, 4, 0]"
"[[0], [2], [1], [1, 2], [0, 0, 2, 0], [0, 3, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 1, 1]]",9999999.0,7,(((x[0]+x[0]/x[1]+Constant)-(x[1]**Constant))**Constant),(((x[0]+x[0]/x[1]+0.7212393237497944)-(x[1]**0.7749297177135269))**0.048652920832436775),9999999.0,{'errortest': 9999999},"[1, 1, 1, 2, 3, 4, 5, 4]"
