genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [3], [2], [0], [2], [0, 0], [0]]",242.81092367165388,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.8233201274692226) * (x[2]),255.77811861676912,{'errortest': 227.43510110847524}
"[[0], [1], [3, 3], [], [2], [0, 0], [0, 0]]",263.3531959442215,"[1, 1, 2, 0, 1, 2, 2]",5,(x[0]*x[0]) * (x[1]**Constant) * (x[2]),(x[0]*x[0]) * (x[1]**0.8166883086457958) * (x[2]),277.1845284364514,{'errortest': 229.79563377797407}
"[[0], [1], [0, 1], [0, 2, 0, 2], [2, 2, 0, 2, 2], [1, 1, 0, 1, 0, 0], [0, 0, 0]]",277.05594234390156,"[1, 1, 2, 4, 5, 6, 3]",6,(Constant*Constant*x[0]+(Constant*x[0]*x[0])) * (x[1]**Constant) * (x[2]),(0.05311485064841781*0.7031356215079937*x[0]+(0.29036821464048956*x[0]*x[0])) * (x[1]**0.9757379641793876) * (x[2]),296.8982496332144,{'errortest': 247.28983448983794}
"[[0], [2], [3], [], [], [0], [0]]",305.1518736338618,"[1, 1, 1, 0, 0, 1, 1]",5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),(x[0]**0.7457460916054234) * (x[1]**0.8521852455919727) * (x[2]),323.8412041392851,{'errortest': 298.0545296694733}
"[[0], [3], [], [], [], [0], [0]]",380.3417965333006,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.878011065606995) * (x[2]),403.2011459832667,{'errortest': 361.072554402716}
"[[0], [1], [3, 0], [2, 1], [2, 2, 2], [1, 1, 0, 1], [0]]",515.0765963544133,"[1, 1, 2, 2, 3, 4, 1]",6,(Constant*Constant*(x[0]*Constant)) * (x[1]**Constant) * (x[2]),(0.9529296026159545*0.751444579555744*(x[0]*0.8544327585483432)) * (x[1]**0.9824612190184601) * (x[2]),551.417990045993,{'errortest': 495.5836555753698}
"[[0], [3], [1, 3], [], [], [0, 0, 0, 0, 0], [0]]",528.9317386514466,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.9194809333487649) * (x[2]),563.0718054060318,{'errortest': 506.07714068392204}
"[[0], [2], [3], [], [], [0], [0]]",604.3760749707538,"[1, 1, 1, 0, 0, 1, 1]",5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),(x[0]**0.301979061937541) * (x[1]**0.9349779208590953) * (x[2]),651.4636144398739,{'errortest': 640.9280641251976}
"[[0], [2], [2], [0], [3], [0, 0], [0, 0]]",1012.6583433311514,"[1, 1, 1, 1, 1, 2, 2]",6,((x[0]/x[0]**Constant)**Constant) * (x[1]**Constant) * (x[2]),((x[0]/x[0]**0.9439445038207658)**0.4335110686922492) * (x[1]**0.9963380591320983) * (x[2]),1099.9582647287766,{'errortest': 1127.024034307628}
"[[0], [1], [1, 1], [0, 2, 1, 0], [2, 3, 1, 0, 3, 0], [1, 1, 0, 0, 1, 0, 0], [0, 0, 0, 0]]",1173.9191297111674,"[1, 1, 2, 4, 6, 7, 4]",6,((Constant*Constant/x[0])-((x[0]+Constant)/x[0]+x[0])) * (x[1]**Constant) * (x[2]),((0.6815766951530391*0.5073496976617715/x[0])-((x[0]+0.5514054699192457)/x[0]+x[0])) * (x[1]**0.9019939546684663) * (x[2]),1262.2760918782917,{'errortest': 1252.0818164947946}
"[[0], [2], [2], [0], [1], [1, 1], [0, 0]]",9999999.0,"[1, 1, 1, 1, 1, 2, 0]",5,((Constant-Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),((0.04321150975858301-0.6124976922969616**0.37002133219962774)**0.3204244403669523) * (x[1]**0.4952271621066462) * (x[2]),9999999.0,{'errortest': 9999999}
"[[0], [2], [1], [2, 2], [1], [0, 1], [0]]",9999999.0,"[1, 1, 1, 2, 1, 2, 1]",6,((x[0]-Constant)**Constant) * (x[1]**Constant) * (x[2]),((x[0]-0.9553725084159412)**0.6481895067426142) * (x[1]**0.16498801786228745) * (x[2]),9999999.0,{'errortest': 9999999}
