genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [0], [1, 0], [2, 2, 0, 3], [2, 2, 1, 1], [0, 0, 0, 0, 1, 3, 1, 1, 3], [1, 0, 1, 1, 1, 0, 1, 1, 0, 1], [0, 0]]",0.17818418896567254,"[1, 1, 2, 4, 4, 6, 7, 2]",7,((Constant**Constant)+(x[0]**Constant))+(Constant+Constant)+(Constant-x[0])/Constant,((0.22791621675203633**0.31453249507027503)+(x[0]**0.5811967671971779))+(0.7421638975507389+0.7681521837209191)+(0.3248994883193952-x[0])/0.41432971366382954,0.17852546597968927,{'errortest': 0.1794556647522146}
"[[0], [1], [2, 0], [3, 2, 2], [2, 2, 1, 1], [3, 0, 3, 0, 3], [1, 0, 1, 1, 1, 1, 1, 1, 0, 1], [0]]",0.17844075012963428,"[1, 1, 2, 3, 2, 2, 3, 1]",7,((Constant**Constant)/(x[0]**Constant)+(Constant**Constant)),((0.7861293151713186**0.36862850784179224)/(x[0]**0.6059868129283589)+(0.7183233550582913**0.17827233975690582)),0.18038612387625966,{'errortest': 0.18687200721851896}
"[[0], [1], [2, 2], [2, 1, 2, 3], [0, 2, 2, 2], [3, 0, 3, 0, 3, 3, 1, 1, 3], [1, 0, 1, 1, 1], [0, 0, 1]]",0.18234062062201278,"[1, 1, 2, 2, 3, 3, 4, 1]",7,(((Constant/x[0]**Constant)**Constant)+((Constant/Constant)**Constant)),(((0.7780552781140877/x[0]**0.9637183296498916)**0.6593184001666477)+((0.529572205161555/0.8156348708462052)**0.10701003471512716)),0.20298873200006282,{'errortest': 0.21410956510521864}
"[[0], [1], [2, 0], [3, 2, 2], [2, 2, 1, 1], [3, 0, 3, 0, 3], [1, 0, 1, 1, 1, 1, 1, 1, 0, 1], [0, 0, 1]]",0.1842768315762543,"[1, 1, 2, 3, 2, 2, 3, 1]",7,((Constant**Constant)/(x[0]**Constant)+(Constant**Constant)),((0.7091935269205443**0.25682914675134283)/(x[0]**0.5364371460862795)+(0.9136386433115679**0.9427921522810094)),0.2081013868858897,{'errortest': 0.21752269912261615}
"[[0], [1], [2, 0], [3, 2, 3], [1, 2, 1, 2], [3, 0, 3, 0, 3], [1, 0, 1, 1, 1, 1, 1, 1, 0, 1], [0, 0, 1]]",0.1855421895282027,"[1, 1, 2, 3, 1, 3, 4, 1]",7,((Constant**Constant)/((x[0]+Constant)**Constant)/Constant),((0.9700992814424675**0.057575465376764945)/((x[0]+0.35674667311550967)**0.31773963798996696)/0.4580774735639359),0.18936527277406548,{'errortest': 0.18647675539103106}
"[[0], [0], [2, 1], [3, 2, 0], [2, 2, 1, 1], [0, 0, 3, 0, 3, 3, 1, 1, 3], [1, 0, 1, 1, 0], [0, 0]]",0.1864190042335907,"[1, 1, 2, 3, 3, 4, 5, 2]",7,(Constant**Constant)+((x[0]**Constant)+Constant/(Constant+x[0])),(0.3762228628282317**0.7030184746658119)+((x[0]**0.11287138300259825)+0.6829145051820924/(0.33105166739225633+x[0])),0.19843553525405044,{'errortest': 0.19805808530630342}
"[[0], [1], [2, 0], [3, 2, 3], [2, 2, 1, 1], [3, 0, 3, 0, 3], [0, 0, 1, 0, 0, 1], [0, 0, 0]]",0.19013532371048242,"[1, 1, 2, 3, 1, 2, 3, 2]",7,((x[0]**Constant)/(x[0]**Constant)+Constant),((x[0]**0.12968933618777734)/(x[0]**0.6253820749937834)+0.9575131123868412),0.17717642465094793,{'errortest': 0.17625163094791824}
"[[0], [1], [2, 0], [3, 3, 2], [2, 2, 1, 1], [3, 0, 3, 0, 3], [0, 0, 1, 1, 1, 0, 1, 1, 0, 1], [0, 0, 0]]",0.19013899472830495,"[1, 1, 2, 3, 1, 2, 3, 2]",6,((x[0]**Constant)/x[0]+(Constant**Constant)),((x[0]**0.3142351030033246)/x[0]+(0.7328668902309635**0.7977564714947105)),0.18424661097115372,{'errortest': 0.19228199817203523}
"[[0], [1], [2, 0], [3, 2, 2], [2, 2, 1, 1], [3, 0, 3, 0, 3], [1, 0, 1, 1, 1, 1, 1, 1, 0, 1], [0]]",0.19178567591338783,"[1, 1, 2, 3, 2, 2, 3, 1]",7,((Constant**Constant)/(x[0]**Constant)+(Constant**Constant)),((0.6670275104081244**0.4887296371280183)/(x[0]**0.6412560745903073)+(0.6931736832140737**0.11577153417784636)),0.21987707772072318,{'errortest': 0.23237074493642562}
"[[0], [1], [2, 0], [3, 1, 2, 3], [1, 2, 1, 2], [3, 0, 3, 0, 3], [1, 0, 1, 1, 1, 1, 1, 1, 0, 1], [0, 0, 1]]",0.1923589527836051,"[1, 1, 2, 3, 3, 5, 6, 1]",7,((Constant**Constant)/((x[0]+Constant)/Constant)+((Constant/Constant)**Constant)),((0.8004760425230293**0.09869353356609145)/((x[0]+0.13586277746581932)/0.9929458120397193)+((0.7744743815058841/0.9824550399777294)**0.9153093472641557)),0.2081658155437561,{'errortest': 0.2229418321651051}
"[[0], [1], [2, 0], [3, 0, 3], [2, 1, 1, 1], [3, 0, 3, 0, 3, 2, 0], [0, 0, 1, 0, 0, 1], [0, 0, 0, 0]]",0.19438746940324989,"[1, 1, 2, 3, 2, 4, 5, 4]",7,((x[0]**Constant)/x[0]+(Constant/x[0])+x[0]),((x[0]**0.546854470865797)/x[0]+(0.22697081061241153/x[0])+x[0]),0.18119585492507798,{'errortest': 0.18241945908015797}
"[[0], [1], [1, 0], [3, 3, 2, 2], [2, 2, 1, 1], [3, 0, 3, 0, 3], [0, 0, 1, 1, 1, 0, 1, 1, 0, 1], [0, 0, 0]]",0.21393331562225845,"[1, 1, 2, 4, 2, 3, 4, 2]",6,((x[0]/x[0])+(Constant**Constant)/(Constant**Constant)),((x[0]/x[0])+(0.586725010791213**0.953818607148892)/(0.24653009917782454**0.49449965634425463)),0.22308135762391085,{'errortest': 0.21496865845157578}
"[[0], [0], [2, 0], [3, 0, 3], [2, 2, 1, 1], [0, 0, 3, 1, 3, 2, 0], [1, 1, 0, 0, 0, 1, 1, 1, 0, 1], [0, 0, 0, 1]]",0.21731466350269815,"[1, 1, 2, 3, 2, 3, 4, 2]",7,(Constant**Constant)+Constant+x[0]/x[0],(0.9462177425353863**0.547259257595065)+0.1919547974537582+x[0]/x[0],0.2360406238399112,{'errortest': 0.23045530406071882}
"[[0], [1], [1, 0], [3, 3, 2, 3], [2, 2, 1, 1], [3, 0, 3, 0, 3], [0, 0, 1, 1, 1], [0, 0, 0]]",0.22896233208843825,"[1, 1, 2, 4, 1, 3, 4, 2]",6,((x[0]/x[0])+(Constant**Constant)/Constant),((x[0]/x[0])+(0.34356323943347544**0.14599790955506486)/0.7647462254970302),0.25655961724289494,{'errortest': 0.25348326977293806}
"[[0], [1], [0, 3], [3, 2, 2, 2], [2, 2, 1, 1, 0], [0, 0, 3, 0, 3, 3, 1, 1, 3], [1, 0, 1, 1, 1, 1, 1, 1, 0, 1], [0, 0, 1, 1, 0, 0]]",0.24068581453088508,"[1, 1, 2, 2, 1, 2, 3, 1]",7,(Constant+(x[0]**Constant)+Constant),(0.9567221760047309+(x[0]**0.3341103211033777)+0.3906805527860914),0.25308370498267707,{'errortest': 0.24258046427918886}
"[[0], [1], [2, 2], [2, 2, 2, 2], [1, 1, 2], [0, 0, 3, 0, 3], [1, 1, 0, 0, 1, 1], [0, 0, 1]]",0.29401747893629077,"[1, 1, 2, 2, 2, 3, 4, 2]",7,((((Constant+Constant)**Constant)**Constant)+(((x[0]/x[0])**Constant)**Constant)),((((0.35986655050491734+0.49047751238008197)**0.18964959030265416)**0.043171037905813)+(((x[0]/x[0])**0.8402334642344177)**0.8386199004940559)),0.33680249938174345,{'errortest': 0.3387269634485769}
"[[0], [1], [2, 0], [3, 2, 0, 1], [1, 2, 1, 2, 1], [3, 0, 0, 0, 2], [1, 0, 1, 0, 1, 1, 1, 1], [0, 0, 1, 0, 1]]",0.2974748692422114,"[1, 1, 2, 3, 3, 5, 6, 2]",7,((Constant**Constant)/((x[0]+Constant)**Constant)+x[0]+(Constant*Constant)),((0.9200749739805203**0.3570353598881618)/((x[0]+0.540912268191853)**0.6264645514588176)+x[0]+(0.9695470260525517*0.5465078412593799)),0.3354740592356033,{'errortest': 0.3343066255283828}
"[[0], [0], [2, 0], [3, 3, 2], [2, 2, 1, 1, 2], [0, 0, 0, 3, 3, 3, 1, 1, 3], [0, 0, 1, 1, 1, 1, 1, 1, 0, 1], [0, 0, 0, 1]]",0.3217632858575726,"[1, 1, 2, 3, 1, 2, 3, 2]",6,(x[0]**Constant)+x[0]+(Constant**Constant),(x[0]**0.6298383697887392)+x[0]+(0.35148282503117123**0.1529298326581343),0.3344622343903595,{'errortest': 0.3208096627352477}
"[[0], [1], [2, 0], [3, 2, 3], [1, 2, 1, 2], [3, 0, 3, 1, 3, 2, 0], [1, 0, 1, 1, 1, 1, 1, 1, 0, 1], [0, 0, 0, 0]]",0.34478306133140124,"[1, 1, 2, 3, 1, 3, 4, 1]",7,((Constant**Constant)/((x[0]+Constant)**Constant)/Constant),((0.8233711435688943**0.9846497210546791)/((x[0]+0.6658106221688297)**0.9391250722309026)/0.35245897784418645),0.3963189424582876,{'errortest': 0.4124879691710262}
"[[0], [1], [3, 2], [0, 1, 2], [2, 2, 1, 1], [0, 0, 3, 0, 1, 2, 1, 1, 3], [0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 1]]",0.3501447258641576,"[1, 1, 2, 1, 2, 2, 3, 3]",7,(x[0]+(x[0]+x[0]**Constant)),(x[0]+(x[0]+x[0]**0.08914033898410456)),0.36501664878406626,{'errortest': 0.3514836701776479}
"[[0], [1], [2, 0], [3, 3, 2], [2, 2, 1, 1, 2], [3, 0, 1, 0, 3], [1, 0, 1, 0, 1, 1, 1], [0, 0, 0]]",0.38291110467926265,"[1, 1, 2, 3, 1, 2, 3, 1]",6,((Constant**Constant)/x[0]+(Constant**Constant)),((0.8005979444622201**0.6758626555679295)/x[0]+(0.6953344188348844**0.011834922053634234)),0.33462933433688524,{'errortest': 0.32275160695121863}
"[[0], [0], [2, 2], [3, 2, 0], [0, 2, 2, 1], [0, 0, 3, 0, 3, 3, 1, 1, 3], [0, 0, 1, 1, 1, 1, 1, 1, 0, 1], [0, 0, 1]]",0.43117609862065115,"[1, 1, 2, 2, 1, 2, 3, 2]",7,(x[0]**Constant)+((x[0]+Constant**Constant)**Constant),(x[0]**0.16070081531740943)+((x[0]+0.03293218358727601**0.324589880293942)**0.6562779990778339),0.4770764564274938,{'errortest': 0.47534678478779213}
"[[0], [1], [2, 0], [3, 2, 2], [2, 2, 1, 1], [3, 0, 3, 0, 3], [1, 0, 1, 1, 1, 1, 1, 1, 0, 1], [0, 0, 1]]",0.4403444020328795,"[1, 1, 2, 3, 2, 2, 3, 1]",7,((Constant**Constant)/(x[0]**Constant)+(Constant**Constant)),((0.525234820044059**0.6665145236448001)/(x[0]**0.6040922977312114)+(0.8846140178056978**0.9530894359509454)),0.4936669100549566,{'errortest': 0.5082999646599485}
"[[0], [0], [3, 0], [3, 2, 2], [0, 2, 1, 2], [3, 0, 3, 0, 3], [0, 0, 0, 1, 1, 1, 1, 1, 0, 1], [0, 0, 0]]",0.44070884552135936,"[1, 1, 2, 2, 1, 3, 4, 3]",7,x[0]/x[0]+(x[0]/Constant**Constant),x[0]/x[0]+(x[0]/0.6234387135964068**0.8454195704644502),0.4830769481136205,{'errortest': 0.4785513533710783}
"[[0], [0], [0, 0], [3, 2, 0, 2], [2, 2, 1, 1], [0, 2, 0, 0, 3, 2], [1, 1, 1, 0, 1, 1, 1, 1], [0, 0, 1]]",0.4692086662491241,"[1, 1, 2, 4, 4, 6, 7, 1]",7,Constant+(Constant**Constant)*Constant+(x[0]+Constant)/((Constant*Constant)**Constant),0.7557123928548488+(0.17647702626573392**0.48239212969951395)*0.027377128750229796+(x[0]+0.13350155731733537)/((0.19561484642944826*0.8884885961647258)**0.5018964255985204),0.4353532967362444,{'errortest': 0.4220500356730752}
"[[0], [0], [2, 0], [3, 2, 2], [2, 1, 1, 1], [3, 0, 3, 0, 3, 2, 0], [0, 0, 1, 1, 0, 1], [0, 0, 0, 1]]",0.470802976593265,"[1, 1, 2, 3, 2, 3, 4, 2]",7,(x[0]**Constant)/(x[0]**Constant)+((Constant/Constant)**Constant),(x[0]**0.1253006390739283)/(x[0]**0.18107920057721782)+((0.9298096471649608/0.47235045775244444)**0.6861172681336628),0.42185686932771327,{'errortest': 0.40554884455099177}
"[[0], [0], [2, 0], [2, 2, 3, 2], [1, 0, 2], [0, 0, 3, 0, 3], [1, 1, 1, 0, 0, 1, 1, 1], [0, 0, 1]]",0.4817274981850213,"[1, 1, 2, 3, 2, 4, 5, 2]",7,(((Constant+Constant)**Constant)**Constant)+(Constant/x[0]**Constant)+x[0],(((0.4172980383497613+0.2340535710877275)**0.7466410671084578)**0.9303179304801078)+(0.35499574307225623/x[0]**0.4509041898411472)+x[0],0.5312880298089935,{'errortest': 0.534357913787946}
"[[0], [1], [2, 0], [3, 2, 2], [2, 2, 1, 1], [3, 0, 3, 0, 3], [1, 0, 1, 1, 1, 1, 1, 1, 0, 1], [0]]",0.4867116419301343,"[1, 1, 2, 3, 2, 2, 3, 1]",7,((Constant**Constant)/(x[0]**Constant)+(Constant**Constant)),((0.6956263712422698**0.5366938846872802)/(x[0]**0.4963557237312628)+(0.559929314053635**0.6990736356702482)),0.540862223844414,{'errortest': 0.5553918661698604}
"[[0], [1], [2, 0], [3, 2, 3], [1, 2, 1, 2], [3, 0, 3, 0, 3], [0, 0, 1, 1, 1, 1, 1, 1, 0, 1], [0, 0, 1]]",0.5047040461716595,"[1, 1, 2, 3, 1, 3, 4, 2]",7,((x[0]**Constant)/((x[0]+Constant)**Constant)/Constant),((x[0]**0.06930845183771306)/((x[0]+0.224086488942141)**0.5570587362373094)/0.6286560988010136),0.5594276785994179,{'errortest': 0.5736461462940258}
"[[0], [0], [2, 2], [3, 2, 0], [1, 1, 2], [0, 0, 3, 0, 3], [0, 1, 1, 0, 0, 1], [0, 0, 1]]",0.5125989043659911,"[1, 1, 2, 2, 1, 2, 3, 1]",6,(x[0]**Constant)+(((Constant+Constant)**Constant)**Constant),(x[0]**0.6762080695163976)+(((0.9555470836731389+0.4290842681597524)**0.19576021691047396)**0.9310568018646194),0.5622570478011313,{'errortest': 0.5631998693457264}
"[[0], [0], [2, 2], [3, 2, 0], [1, 1, 2], [0, 0, 3, 0, 3], [0, 1, 1, 0, 0, 1], [0, 0, 1]]",0.5748204876046369,"[1, 1, 2, 2, 1, 2, 3, 1]",6,(x[0]**Constant)+(((Constant+Constant)**Constant)**Constant),(x[0]**0.7281601571416946)+(((0.9887407422038358+0.5970350294612202)**0.023816104093425716)**0.9262694930068293),0.6257079680378526,{'errortest': 0.6273230169113684}
"[[0], [1], [2, 0], [3, 2, 2], [2, 2, 1, 1], [3, 0, 3, 0, 3], [1, 0, 1, 1, 1, 1, 1, 1, 0, 1], [0]]",0.6202225176786824,"[1, 1, 2, 3, 2, 2, 3, 1]",7,((Constant**Constant)/(x[0]**Constant)+(Constant**Constant)),((0.4130891111152203**0.8816498997143584)/(x[0]**0.5590073384592886)+(0.985074229222264**0.9998517209370053)),0.675368043956949,{'errortest': 0.687999712566447}
"[[0], [1], [2, 2], [3, 0, 3], [2, 1, 1, 1], [3, 0, 1, 0, 3, 2, 0], [1, 1, 1, 0, 1, 1, 1, 1, 0, 1], [0, 0, 1, 0, 1]]",0.6297258938702571,"[1, 1, 2, 2, 2, 3, 4, 1]",7,((Constant**Constant)/(Constant+(Constant-x[0])**Constant)),((0.15108391481852002**0.0867496861749284)/(0.13453745881277668+(0.8357330834248103-x[0])**0.8595232582484383)),0.6417839011440853,{'errortest': 0.6684889288831758}
"[[0], [0], [0, 0], [3, 2, 2, 0], [2, 0, 1, 2, 1], [3, 0, 3, 0, 3, 1], [1, 0, 1, 0, 1, 1, 1, 1], [1, 0, 1]]",0.6634456183104339,"[1, 1, 2, 4, 4, 6, 7, 2]",7,Constant/(x[1]**Constant)+(Constant/x[0]**Constant)+(Constant/Constant)-Constant,0.9641442114945139/(x[1]**0.7258547542068748)+(0.46052862436074915/x[0]**0.7574031344757739)+(0.9801776097308884/0.9819208760463051)-0.1404073386013317,0.7186050564305714,{'errortest': 0.7344218268583473}
"[[0], [0], [2, 2], [3, 3, 2], [1, 1, 2], [0, 0, 0, 3, 3, 3, 1, 1, 3], [1, 0, 1, 1, 1, 1, 1, 1, 0, 1], [0, 0, 1]]",0.6728637736786816,"[1, 1, 2, 2, 0, 1, 2, 1]",6,(Constant**Constant)+(x[0]**Constant),(0.5560735259209458**0.562766523350277)+(x[0]**0.29664679165055496),0.7263579569443578,{'errortest': 0.7313327796457985}
"[[0], [0], [2, 2], [3, 3, 2], [1, 1, 2], [0, 0, 3, 0, 3], [1, 0, 0, 0, 0, 1, 1, 1, 0, 1], [0, 0, 1]]",0.6999098755313695,"[1, 1, 2, 2, 0, 1, 2, 1]",6,(Constant**Constant)+(x[0]**Constant),(0.4247561407055279**0.3886587368040153)+(x[0]**0.35370543238906815),0.7534588816083684,{'errortest': 0.7582077170070769}
"[[0], [1], [0, 0], [2, 1, 2, 3], [0, 2, 1, 2], [0, 0, 0, 0, 1, 3, 2, 1, 3], [0, 0, 1, 1, 1, 1, 1, 1, 0, 1], [0, 0, 1]]",0.7484345014002627,"[1, 1, 2, 4, 4, 6, 7, 2]",7,((x[0]+x[0]**Constant)+(Constant+(Constant+Constant))-(Constant**Constant)/Constant),((x[0]+x[0]**0.4767092691972572)+(0.05505310687887921+(0.920495608012385+0.5033617574045623))-(0.498760359243558**0.9347500236113508)/0.3950585385651032),0.7990876727695105,{'errortest': 0.7975799111398494}
"[[0], [0], [2, 3], [2, 0, 2, 3], [0, 2, 0, 1], [2, 0, 0, 3, 3, 3, 1, 1, 3], [1, 0, 1, 1, 0], [0, 0]]",0.7582502826851719,"[1, 1, 2, 1, 1, 2, 3, 1]",7,((Constant*x[0]**Constant)**Constant)+Constant,((0.5136742081481723*x[0]**0.1335557355817163)**0.7519786904893295)+0.9006036664662662,0.8130942997347451,{'errortest': 0.8208845102477581}
"[[0], [1], [2, 0], [0, 1, 2], [2, 2, 0, 1, 2], [0, 0, 3, 0, 0, 2, 1, 1, 3], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 1]]",0.7633309401284699,"[1, 1, 2, 3, 5, 6, 7, 4]",7,((x[0]+x[0]**Constant)+(x[0]/x[1]+(Constant+Constant))*(Constant**Constant)),((x[0]+x[0]**0.2338676426816404)+(x[0]/x[1]+(0.10550852864603699+0.16260790745234366))*(0.08142695375139641**0.9265266962591374)),0.8150403980831797,{'errortest': 0.8153158982867017}
"[[0], [1], [2, 0], [3, 0, 3], [2, 2, 1, 1], [3, 0, 3, 0, 3], [1, 0, 1, 0, 0, 1], [0, 1, 0]]",0.7791108134890786,"[1, 1, 2, 3, 2, 3, 4, 2]",7,((Constant**Constant)/x[0]+Constant/x[1]),((0.7628985861274894**0.6647255450366045)/x[0]+0.9307003424623256/x[1]),0.8342127328554128,{'errortest': 0.8595572430948392}
