genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [2], [2], [1], [1, 1], [0, 0, 1], [1, 0, 1, 1], [1]]",9.478900697813547,7,((((Constant+x[1])+(Constant-Constant))**Constant)**Constant),((((0.9082233087290766+x[1])+(0.15641599422800379-0.9382048340156809))**0.9035682030823211)**0.32706501241239816),9.669745274468665,{'errortest': 9.455492793643808},"[1, 1, 1, 1, 2, 3, 4, 1]"
"[[0], [0], [1, 1], [2, 3, 3, 3], [2], [1, 0, 2], [0, 1, 0, 0], [1, 0, 0]]",12.405222964996028,7,((x[1]**Constant)-Constant)+(x[0]*x[0]),((x[1]**0.3161714465182742)-0.29083788309599)+(x[0]*x[0]),12.701142784703778,{'errortest': 12.3731797785412},"[1, 1, 2, 4, 1, 3, 4, 3]"
"[[0], [2], [1], [1, 3], [0, 0], [1, 0, 2, 2], [0, 1, 0, 0, 0], [1, 1, 0, 1]]",52.63039229604973,7,(((x[1]-Constant+x[1]*x[0])*x[1])**Constant),(((x[1]-0.7459470518197643+x[1]*x[0])*x[1])**0.2326664751910149),54.041615565558054,{'errortest': 52.52349410277331},"[1, 1, 1, 2, 2, 4, 5, 4]"
"[[0], [0], [0, 2], [2, 1, 2], [2, 0, 2, 1], [0, 0, 0, 3, 2], [0, 0, 0, 1, 1, 1], [1, 0, 0]]",130.0748370171254,7,(x[1]**Constant)+(x[0]+x[0]+Constant)/(((Constant*Constant)**Constant)**Constant),(x[1]**0.5822900664475781)+(x[0]+x[0]+0.8625434547861431)/(((0.07554563192117336*0.39607566177979314)**0.5534682091200782)**0.5697188982904388),133.42830655335266,{'errortest': 129.92701502537966},"[1, 1, 2, 3, 4, 5, 6, 3]"
"[[0], [1], [1, 3], [3, 3], [], [2, 3], [1, 0, 1], [1]]",174.50202201877426,6,((Constant*x[1])/Constant),((0.02918659100273102*x[1])/0.7227943935957843),179.06785601596133,{'errortest': 174.28978106519395},"[1, 1, 2, 2, 0, 2, 3, 1]"
"[[0], [2], [0], [2, 2], [1, 2], [1, 1], [0, 1, 1], [1]]",246.56100737370107,7,(((x[1]-Constant)**Constant)-(Constant**Constant)**Constant),(((x[1]-0.9732758155819683)**0.665315655705921)-(0.07256875165006804**0.48920300801221617)**0.34039623326544743),253.25673053219722,{'errortest': 246.36269808104353},"[1, 1, 1, 2, 2, 2, 3, 1]"
"[[0], [1], [3, 1], [0, 3], [1, 0], [0, 2, 0, 1, 2], [1, 1, 0, 0, 0, 1], [1, 0, 0]]",307.11217608370566,7,(Constant+((Constant*x[1])+x[0]-x[0]*Constant)),(0.7278548554520773+((0.0704683902400618*x[1])+x[0]-x[0]*0.108526587392893)),315.14486115535203,{'errortest': 306.7436401803798},"[1, 1, 2, 2, 2, 5, 6, 3]"
"[[0], [0], [0, 1], [3, 3, 0, 0], [2, 2, 1, 1], [2, 3, 3, 3, 1, 3, 1], [1, 1, 0, 1, 1, 0, 1, 1], [0, 1]]",365.7875734637905,7,Constant*Constant/(x[0]/Constant/(Constant-x[1])/(Constant-Constant)),0.30736044278780195*0.567463613156276/(x[0]/0.7772145849594462/(0.17426730038706573-x[1])/(0.4580663290353887-0.9886013162525054)),364.5028348548605,{'errortest': 368.0493261844509},"[1, 1, 2, 4, 4, 7, 8, 2]"
"[[0], [0], [2, 1], [2, 2, 2], [1, 0, 1], [0, 2, 1, 2, 3], [1, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0]]",464.9618238603683,7,(((Constant+x[1])**Constant)**Constant)*((x[0]-x[1]**Constant)*((x[0]/x[0])**Constant)),(((0.5235126058617771+x[1])**0.27266737043528866)**0.11787517138232739)*((x[0]-x[1]**0.7066624683895026)*((x[0]/x[0])**0.6537568879480106)),477.7882496748065,{'errortest': 464.6378098888423},"[1, 1, 2, 3, 3, 5, 6, 5]"
"[[0], [2], [0], [1, 3], [0, 1], [0, 2, 2, 2], [1, 0, 1, 0, 1], [1, 0]]",953.9611276348984,7,((Constant+x[1]*(Constant*x[0]))*Constant**Constant),((0.6610179530075663+x[1]*(0.7882506733605533*x[0]))*0.25852060413962274**0.9961875973343955),1001.0953212130445,{'errortest': 943.2070637493488},"[1, 1, 1, 2, 2, 4, 5, 2]"
