genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [2], [0, 3], [2, 3], [0], [3, 0, 3], [1, 0, 0, 0], [0, 0, 0]]",0.14197834204494308,"[1, 1, 1, 2, 1, 2, 3, 2]",7,((Constant/x[0]**Constant)+x[0]**Constant),((0.7951516338539992/x[0]**0.7892674554443816)+x[0]**0.3470643105588691),0.14415649540478262,{'errortest': 0.17521812634764294}
"[[0], [1], [0, 3], [2, 1], [1, 1, 1], [3, 0, 3, 0, 1, 1], [1, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0]]",0.1874377565052347,"[1, 1, 2, 2, 3, 6, 7, 4]",7,(((Constant/x[0])**Constant)+((x[0]/x[0])+(Constant-x[0]))-Constant),(((0.41803574200632343/x[0])**0.23204912318263027)+((x[0]/x[0])+(0.9929776258221593-x[0]))-0.0360677476636293),0.1856894125066847,{'errortest': 0.17721738195574457}
"[[0], [0], [0, 3], [2, 3], [0, 0, 2], [3, 0, 3], [1, 1, 1, 0], [0, 0, 0]]",0.19904385830340743,"[1, 1, 2, 2, 1, 3, 4, 1]",6,(Constant/Constant**Constant)+Constant/x[0],(0.8549040726403007/0.8856233335962826**0.7046853203474144)+0.8327200719376793/x[0],0.19841312077070578,{'errortest': 0.1935978169747078}
"[[0], [1], [0, 3], [2, 3], [1, 1], [3, 0, 3], [1, 0, 0, 0], [0, 0, 0]]",0.19983259210247778,"[1, 1, 2, 2, 1, 3, 4, 3]",7,(((Constant/x[0])**Constant)+x[0]/x[0]),(((0.8818629073335462/x[0])**0.7457848058188804)+x[0]/x[0]),0.19935078085818977,{'errortest': 0.1949024227701698}
"[[0], [1], [0, 3], [2, 3], [1, 1], [3, 0, 3], [1, 0, 0, 0], [0, 0, 0]]",0.20465153555616758,"[1, 1, 2, 2, 1, 3, 4, 3]",7,(((Constant/x[0])**Constant)+x[0]/x[0]),(((0.6952075730308411/x[0])**0.2561260263487082)+x[0]/x[0]),0.2113123063242237,{'errortest': 0.23352404084926567}
"[[0], [0], [3, 0], [3, 2], [0], [3, 0, 3], [1, 0, 1, 1, 1, 0, 1, 0], [0, 0, 0]]",0.21617621172548415,"[1, 1, 2, 2, 1, 3, 4, 1]",6,Constant/x[0]+(Constant/Constant**Constant),0.8880705804919141/x[0]+(0.7686063906751827/0.2863755655267265**0.07042513163507458),0.21663870115163716,{'errortest': 0.21062078981515397}
"[[0], [0], [0, 3], [2, 3], [0], [3, 0, 3], [1, 0, 0, 0], [0, 0, 0]]",0.22865350584543584,"[1, 1, 2, 2, 1, 3, 4, 3]",7,(Constant/x[0]**Constant)+x[0]/x[0],(0.8967312595335757/x[0]**0.12506309484088307)+x[0]/x[0],0.23264630044512044,{'errortest': 0.2632356424842926}
"[[0], [2], [0], [2, 3], [2, 0], [0, 0, 3], [1, 1, 1, 1], [0, 0, 0]]",0.25150021691411717,"[1, 1, 1, 2, 1, 1, 2, 0]",6,((Constant**Constant)+Constant**Constant),((0.4996129223939674**0.02370711857272867)+0.8552598324199544**0.8567251950331103),0.24957821466218708,{'errortest': 0.2915832679413442}
"[[0], [1], [0, 3], [2, 3], [1, 1], [3, 0, 3, 3], [1, 0, 0, 0], [0, 0, 0]]",0.25162084806152496,"[1, 1, 2, 2, 1, 3, 4, 3]",7,(((Constant/x[0])**Constant)+x[0]/x[0]),(((0.18846502658895758/x[0])**0.2506055211615227)+x[0]/x[0]),0.2346449088917553,{'errortest': 0.29417862484063034}
"[[0], [1], [0, 3], [2, 3], [1, 1], [3, 0, 3], [1, 0, 0, 0], [0, 0, 0]]",0.25385491877809296,"[1, 1, 2, 2, 1, 3, 4, 3]",7,(((Constant/x[0])**Constant)+x[0]/x[0]),(((0.19626343488752052/x[0])**0.05208830314116242)+x[0]/x[0]),0.259099003237115,{'errortest': 0.28754639763789286}
"[[0], [1], [0, 3], [2, 3], [0], [3, 3, 3], [0, 1, 0, 1, 1, 1, 0], [0, 0, 0]]",0.25464125933812476,"[1, 1, 2, 2, 1, 3, 4, 2]",7,((x[0]/Constant**Constant)/x[0]/Constant),((x[0]/0.8182040724232408**0.9864246102508267)/x[0]/0.6495836747615339),0.25478104697751847,{'errortest': 0.2932283925843201}
"[[0], [2], [0], [2, 3, 1, 1], [2, 0], [0, 0, 3], [1, 1, 1, 1], [0, 0, 0]]",0.2562893027385878,"[1, 1, 1, 2, 1, 1, 2, 0]",6,((Constant**Constant)+Constant**Constant),((0.45687934803205676**0.15435437746793956)+0.9969953906449205**0.7706690138584481),0.25725525062746923,{'errortest': 0.2942228407407349}
"[[0], [2], [0, 3], [2, 3], [0], [3, 0, 3], [1, 0, 0, 0], [0, 0, 0]]",0.2577758688672485,"[1, 1, 1, 2, 1, 2, 3, 2]",7,((Constant/x[0]**Constant)+x[0]**Constant),((0.7247414613288499/x[0]**0.10627561507531114)+x[0]**0.04604410511586077),0.2418925170184283,{'errortest': 0.30299602760625177}
"[[0], [2], [0], [2, 3], [1], [0, 0, 3, 0], [1, 1, 1, 0], [0, 0, 0]]",0.2703403721805364,"[1, 1, 1, 2, 1, 2, 3, 0]",6,(((Constant+Constant)**Constant)+Constant**Constant),(((0.8823441280248533+0.19293620448746818)**0.7740018129550208)+0.4722390357701084**0.5530121333208696),0.2531706942732949,{'errortest': 0.31578968882670366}
"[[0], [2], [0], [2, 2], [0, 1], [0, 0, 3], [1, 1, 1, 0], [0, 0, 0]]",0.2858366027396205,"[1, 1, 1, 2, 2, 3, 4, 1]",7,((Constant+Constant**Constant)+((Constant/x[0])**Constant)**Constant),((0.5317569072181747+0.8417453030844432**0.004031467779510245)+((0.08129209622192957/x[0])**0.9500943652823058)**0.30490997003993514),0.2984340238998787,{'errortest': 0.30608554746376077}
"[[0], [2], [2, 3], [2, 3], [0], [0, 0, 3], [1, 0, 0, 0, 0], [1, 0, 1]]",0.2941410184860077,"[1, 1, 1, 1, 1, 1, 2, 1]",7,(((Constant+x[1]**Constant)**Constant)**Constant),(((0.963803220350355+x[1]**0.4644099217658736)**0.36496554209541454)**0.39035399651581315),0.2749924724085252,{'errortest': 0.3377730390063335}
"[[0], [1], [0, 3], [2, 3], [2, 0], [0, 0, 3], [1, 1, 1, 1], [0, 0, 0]]",0.2946818725363373,"[1, 1, 2, 2, 1, 2, 3, 0]",6,((Constant**Constant)+Constant+Constant),((0.31180111561051016**0.03417439860799032)+0.48542680786859116+0.5344583653688508),0.3047807655055103,{'errortest': 0.32302806595194966}
"[[0], [2], [0, 3], [2, 3], [1, 0], [3, 0, 3], [0, 0, 0, 0], [0, 0, 0]]",0.3083204367676139,"[1, 1, 1, 2, 1, 2, 3, 3]",7,(((x[0]/x[0])**Constant)+x[0]**Constant),(((x[0]/x[0])**0.4079745409329232)+x[0]**0.01310904916520661),0.319749361144383,{'errortest': 0.3350880850313966}
"[[0], [2], [0], [2, 1], [1, 2, 0], [3, 0, 3, 2], [0, 1, 1, 0, 1], [0, 0, 0]]",0.31944006826419485,"[1, 1, 1, 2, 3, 4, 5, 2]",7,(((x[0]/Constant)**Constant)+(Constant/x[0]*Constant)**Constant),(((x[0]/0.7885176355351678)**0.6361744919568982)+(0.9222143537415891/x[0]*0.4833558653610438)**0.6388764362883111),0.3050940502625564,{'errortest': 0.3627149895644594}
"[[0], [1], [0, 1], [2, 3, 3, 2], [2, 0], [2, 0, 3, 3], [1, 1, 1, 1, 1], [0, 0, 0]]",0.34032982322503386,"[1, 1, 2, 4, 2, 4, 5, 0]",6,((Constant**Constant)*Constant+(Constant/(Constant/Constant**Constant))),((0.6445464387596638**0.29810955881165413)*0.3408373819694084+(0.8600161107757561/(0.43691928255141/0.09830735234073318**0.18136921584688104))),0.31555390581961074,{'errortest': 0.38323723957499495}
