genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [0], [2, 1], [0, 0, 0], [3, 1, 3, 2, 2], [1, 0, 1, 1, 0, 0], [0, 0, 0]]",48.88498241783436,"[1, 1, 2, 3, 5, 6, 3]",6,(Constant/x[0]**Constant)-(Constant/Constant*x[0]*x[0]) * (x[1]**Constant) * (x[2]),(0.06410040689990648/x[0]**0.31889142840151674)-(0.33917066849953403/0.42200465773725404*x[0]*x[0]) * (x[1]**0.08008252211103095) * (x[2]),45.77622986324293,{'errortest': 48.26437897288011}
"[[0], [0], [3, 1], [1, 2], [1, 3, 0, 0], [1, 0, 0, 0], [0, 0, 0]]",89.33645599318011,"[1, 1, 2, 2, 3, 4, 3]",6,Constant-((x[0]/x[0])+x[0]) * (x[1]**Constant) * (x[2]),0.4143198856841178-((x[0]/x[0])+x[0]) * (x[1]**0.442469271168233) * (x[2]),83.78351549953442,{'errortest': 88.32995366498486}
"[[0], [3], [], [], [2], [1, 0], []]",129.2373441371911,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.7589693001945642 * (x[1]**0.7482277676351123) * (x[2]),115.82609365654747,{'errortest': 125.81928384079885}
"[[0], [3], [], [], [], [1], []]",221.37086531523912,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.34492487026728236 * (x[1]**0.9033829356094539) * (x[2]),195.44169095667704,{'errortest': 214.71562244055912}
"[[0], [3], [], [], [], [1], []]",370.0774119726044,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.6525522612995434 * (x[1]**0.878019451042954) * (x[2]),328.94065725961974,{'errortest': 359.62082529059217}
"[[0], [2], [0], [0, 0, 0, 2], [0, 3, 3, 3, 0, 2], [1, 1, 0, 0], [0, 0]]",391.87208342562104,"[1, 1, 1, 2, 3, 4, 2]",6,(Constant+Constant/x[0]/x[0]**Constant) * (x[1]**Constant) * (x[2]),(0.6790092834946049+0.8641617965967161/x[0]/x[0]**0.09907691200252222) * (x[1]**0.7507629645922183) * (x[2]),350.0563695305088,{'errortest': 377.20574076755537}
"[[0], [0], [1, 1], [2, 1, 1, 2], [3, 1, 0, 1, 3], [1, 0, 1, 1, 0, 0], [0, 0, 0]]",546.4856785054865,"[1, 1, 2, 4, 5, 6, 3]",6,(Constant/(x[0]-Constant))+((Constant-x[0])/x[0]) * (x[1]**Constant) * (x[2]),(0.5157803628035156/(x[0]-0.7013788535530928))+((0.6279619975092622-x[0])/x[0]) * (x[1]**0.9760755645128961) * (x[2]),498.6045595136324,{'errortest': 543.0670314994205}
"[[0], [0], [0, 3], [1, 2], [2, 2, 0, 1], [1, 1, 0, 1], [0, 0]]",638.71807676907,"[1, 1, 2, 2, 3, 4, 1]",6,(Constant*Constant)*x[0]+Constant * (x[1]**Constant) * (x[2]),(0.1881660511870783*0.9676480153633781)*x[0]+0.4281883262657983 * (x[1]**0.9957898024179352) * (x[2]),562.0790356660118,{'errortest': 619.0681567800524}
"[[0], [0], [3, 0], [0, 1], [2, 3, 1, 3], [0, 1, 1, 0, 1], [0, 0]]",790.104639372113,"[1, 1, 2, 2, 4, 5, 2]",6,x[0]*Constant/Constant-(x[0]/Constant) * (x[1]**Constant) * (x[2]),x[0]*0.3964080156472811/0.6320017588506621-(x[0]/0.6611108462576487) * (x[1]**0.8478416854172234) * (x[2]),720.8426976107131,{'errortest': 782.4881162661646}
"[[0], [0], [3, 0], [0, 1], [1, 0, 3, 1], [1, 0, 0, 0, 0], [0, 0, 0, 0]]",9999999.0,"[1, 1, 2, 2, 4, 5, 4]",6,Constant-x[0]+x[0]/(x[0]-x[0]) * (x[1]**Constant) * (x[2]),0.8276002970892518-x[0]+x[0]/(x[0]-x[0]) * (x[1]**0.011785279155741901) * (x[2]),9999999.0,{'errortest': 9999999}
