genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [3], [], [2, 1, 0, 1], [], [0, 1, 0], [0]]",22.6189183471872,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.4512453944377558) * (x[2]),25.439144929440417,{'errortest': 28.32284330180688},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [2], [1], [1, 0], [3, 0, 3], [1, 0, 0, 0], [0, 0, 0]]",24.152329028168186,6,(((Constant/x[0])+x[0]/x[0])**Constant) * (x[1]**Constant) * (x[2]),(((0.549225628444321/x[0])+x[0]/x[0])**0.24469080256024356) * (x[1]**0.38696618704188057) * (x[2]),26.62223506523396,{'errortest': 27.86469313983708},"[1, 1, 1, 2, 3, 4, 3]"
"[[0], [3], [], [], [], [0, 1, 0, 1], [0]]",25.490614620592474,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.41871244797982676) * (x[2]),28.451280056632203,{'errortest': 31.11853901428914},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [3], [], [1, 0], [2, 0, 0], [1, 1, 1, 0, 0], [0]]",26.241104106900384,3,Constant * (x[1]**Constant) * (x[2]),0.7241356727497084 * (x[1]**0.6592355610425481) * (x[2]),27.34382064902755,{'errortest': 27.016573496552322},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [3], [2], [0, 0], [2, 0, 3, 0], [1], [0, 0]]",27.611448501065407,3,Constant * (x[1]**Constant) * (x[2]),0.7610163504895846 * (x[1]**0.4018441774622582) * (x[2]),30.282236847499686,{'errortest': 31.698950175616176},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [3], [2], [0, 0, 1, 1], [2, 0, 3, 0], [0], [0, 0, 0]]",28.466758388111764,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.3776151056074417) * (x[2]),31.533757858345545,{'errortest': 33.93756361413861},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [1], [3, 0], [2, 0], [0, 3, 0, 0], [1, 0, 1, 0, 1], [0, 0, 0, 0]]",29.6739801457416,6,(Constant+x[0]/Constant+x[0]) * (x[1]**Constant) * (x[2]),(0.30641784896191226+x[0]/0.577028091159252+x[0]) * (x[1]**0.20294199984538974) * (x[2]),32.84923714077377,{'errortest': 35.05567277960382},"[1, 1, 2, 2, 3, 4, 2]"
"[[0], [1], [0, 3], [2, 2, 2, 2], [0, 1], [1, 0, 1], [0, 0]]",29.886831935821565,6,(Constant+x[0]-Constant) * (x[1]**Constant) * (x[2]),(0.14722143924639264+x[0]-0.391025773333071) * (x[1]**0.4020424818987386) * (x[2]),33.07357089614578,{'errortest': 35.67247655313324},"[1, 1, 2, 2, 2, 3, 1]"
"[[0], [0], [3, 2], [1, 0], [2, 0, 3, 0], [0, 0, 0, 0, 1], [0, 0, 0]]",30.35155555150615,6,x[0]*((x[0]+x[0])**Constant) * (x[1]**Constant) * (x[2]),x[0]*((x[0]+x[0])**0.09070278216333794) * (x[1]**0.33761200401355496) * (x[2]),33.500724797711364,{'errortest': 35.791100123499994},"[1, 1, 2, 1, 2, 3, 3]"
"[[0], [2], [3], [], [], [0], [0]]",30.608968714868592,5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),(x[0]**0.9338433967248626) * (x[1]**0.3385306879036878) * (x[2]),33.71623942564355,{'errortest': 35.87181506282425},"[1, 1, 1, 0, 0, 1, 1]"
