genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [2], [0, 1], [1, 3, 3, 1], [2, 2, 0, 1], [0, 0, 0, 3, 2, 1, 0], [1, 1, 1, 0, 0, 1, 0], [0, 0, 0, 1, 1, 1]]",0.3856671598042488,"[1, 1, 1, 2, 2, 2, 3, 0]",6,((Constant+Constant)+Constant**Constant),((0.19238451897707265+0.6468120005892184)+0.9675248858341912**0.4451952181921337),0.433349890835127,{'errortest': 0.4926492417839534}
"[[0], [0], [2, 1], [2, 3, 2, 1], [2, 2, 0, 1], [0, 0, 3, 3, 1, 3], [1, 1, 1, 0, 0, 0, 0], [0, 1, 1, 1]]",0.39340327824711385,"[1, 1, 2, 3, 2, 2, 3, 0]",6,((Constant**Constant)**Constant)+(Constant+(Constant**Constant)),((0.3373717407388508**0.3893355992433678)**0.2781759237309229)+(0.3877364492057853+(0.754267816931239**0.019234606882107763)),0.34932296175828537,{'errortest': 0.3216315977423383}
"[[0], [0], [0, 2], [2, 2, 3], [2, 0, 0], [0, 0, 3, 0, 1, 0], [1, 1, 1, 0, 0, 0, 0], [0, 0, 1]]",0.4322998613962628,"[1, 1, 2, 3, 2, 3, 4, 1]",6,(Constant**Constant)+(Constant+Constant**Constant)/(x[0]**Constant),(0.9997339861586233**0.384846230942285)+(0.6578491433874213+0.3765102518754718**0.6487970783154778)/(x[0]**0.7668972140095697),0.43273393990309594,{'errortest': 0.43501931724241677}
"[[0], [0], [0, 0], [2, 3, 3, 1], [0, 0, 0], [0, 0, 3, 3, 1, 3, 3], [1, 1, 1, 0, 0, 0, 0, 1], [0, 1, 1, 1]]",0.4633955563014044,"[1, 1, 2, 4, 3, 7, 8, 4]",7,(Constant+Constant**Constant)+Constant/x[0]/(x[1]-x[1]/x[1]/Constant),(0.8434582074455533+0.6412104859092096**0.3380411406199273)+0.9081418974246482/x[0]/(x[1]-x[1]/x[1]/0.1062306101055448),0.5225639158077904,{'errortest': 0.5896740377315467}
"[[0], [2], [0, 1], [2, 3, 3, 1], [0, 1, 0, 0, 0], [0, 0, 0, 3], [1, 1, 1, 1, 0, 0, 0], [0, 0, 0, 1, 1, 1]]",0.4702314172410858,"[1, 1, 1, 2, 1, 2, 3, 0]",6,((Constant+Constant**Constant)+Constant**Constant),((0.05781214683207514+0.37276817198990364**0.2501485932828956)+0.11257165144971815**0.07078880240956553),0.5299707381298677,{'errortest': 0.5974681325500562}
"[[0], [1], [2, 3], [2, 3, 3, 2], [1, 0, 0], [0, 0, 0, 3, 3, 1, 0], [1, 0, 1, 0, 0, 0, 0], [0, 1, 1]]",0.4829912470349683,"[1, 1, 2, 1, 1, 2, 3, 1]",7,((((Constant+x[0])**Constant)**Constant)+Constant),((((0.08954108929939264+x[0])**0.7796531762625222)**0.6381870631881809)+0.9702756655373257),0.5071132394936917,{'errortest': 0.5562627360522419}
"[[0], [0], [3, 1], [3, 3, 1, 2], [1, 0, 0], [0, 0, 3, 3, 3], [1, 1, 1, 0, 1, 0], [0, 1, 1, 1, 1, 1]]",0.4851698471129985,"[1, 1, 2, 2, 0, 2, 3, 0]",5,Constant+(Constant+Constant),0.8598326041501405+(0.6442078251311828+0.17170063355173126),0.5462306698926988,{'errortest': 0.6146301530764492}
"[[0], [1], [2, 3], [2, 3, 3, 1], [2, 1, 0, 0, 0], [0, 0, 3, 3, 1, 3], [1, 1, 1, 0, 0, 1, 0, 0], [0, 1]]",0.4952947361820075,"[1, 1, 2, 1, 1, 1, 2, 0]",6,(((Constant**Constant)**Constant)+Constant),(((0.6152189070301933**0.6188378554417682)**0.8238900682639381)+0.8817900251105758),0.5571702330915874,{'errortest': 0.626127210880207}
"[[0], [0], [2, 2], [2, 2, 3, 3], [2, 0, 0], [0, 0, 1, 3, 2], [1, 1, 1, 0, 0, 1, 0, 0], [1, 1, 1, 1, 1, 1]]",0.5639978058338059,"[1, 1, 2, 2, 2, 2, 3, 0]",6,((Constant**Constant)**Constant)+((Constant+Constant**Constant)**Constant),((0.05035851665884894**0.19236845378966272)**0.9872939306368865)+((0.2760261856365255+0.7691163905485396**0.754573796552399)**0.10043213213183821),0.6301396743288419,{'errortest': 0.7020407278597937}
"[[0], [0], [0, 2], [2, 3, 0, 1], [0, 0, 0], [3, 0, 3, 3, 1, 3], [1, 1, 1, 0, 0, 0, 0], [0, 1, 1, 0]]",0.5742782582621482,"[1, 1, 2, 3, 3, 6, 7, 4]",7,(Constant/Constant**Constant)+Constant/(x[0]/x[1]-x[1]/x[0]**Constant),(0.9954612159259237/0.5891209166621936**0.8542997225007197)+0.9302697011224765/(x[0]/x[1]-x[1]/x[0]**0.3378412192767002),0.6408426062469142,{'errortest': 0.7130627952091276}
