genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [0], [3, 3], [0, 0], [2, 1], [0, 1, 0], [0, 1, 1, 0], [0, 1]]",1.153409225667645,5,x[0]+Constant,x[0]+0.17646884379688,1.267560677273714,{'errortest': 1.3939921926962668},"[1, 1, 2, 0, 0, 1, 2, 1]"
"[[0], [2], [3], [], [], [], [0], [0]]",1.159809627952044,5,(x[0]**Constant),(x[0]**0.26827991608256296),1.2494977931925193,{'errortest': 1.3457424751368183},"[1, 1, 1, 0, 0, 0, 1, 1]"
"[[0], [2], [3, 2], [0], [1, 0], [0, 3, 1, 2], [0], [0]]",1.1659406861345678,5,(x[0]**Constant),(x[0]**0.2934669900723237),1.2568124633345903,{'errortest': 1.3545217332672876},"[1, 1, 1, 0, 0, 0, 1, 1]"
"[[0], [2], [2], [3], [], [], [1], [0]]",1.1687175867517772,5,((Constant**Constant)**Constant),((0.8301541067627344**0.81226528948935)**0.5738091874179493),1.2453264851286383,{'errortest': 1.3247959496539885},"[1, 1, 1, 1, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [], [1], []]",1.2314453150030886,3,Constant,0.8518261593196477,1.3083780025709617,{'errortest': 1.3880939488837887},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [3], [1, 0], [], [2, 1, 1, 2], [0, 3, 2, 0, 2, 0, 1], [1], []]",1.235459594291211,3,Constant,0.8476704075864804,1.3124114231224413,{'errortest': 1.3921419670268178},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [1], [3, 0], [3, 2], [1], [1, 0, 3], [1, 0, 0, 1, 1, 1, 1], [0, 0]]",1.2829252495397208,7,(Constant-x[0]+((x[0]/Constant)**Constant)),(0.5878617420472986-x[0]+((x[0]/0.3618928165127623)**0.08080879057888624)),1.311148209839554,{'errortest': 1.3295258473450005},"[1, 1, 2, 2, 1, 3, 4, 2]"
"[[0], [2], [3], [], [], [], [0], [0]]",1.294384070570063,5,(x[0]**Constant),(x[0]**0.9306982583104452),1.4112325529909093,{'errortest': 1.5394890731498},"[1, 1, 1, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [0]]",1.305613069702312,4,x[0],x[0],1.4249064798975588,{'errortest': 1.555842960085836},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [0]]",1.305613069702312,4,x[0],x[0],1.4249064798975588,{'errortest': 1.555842960085836},"[1, 1, 0, 0, 0, 0, 1, 1]"
