genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [2], [3, 3], [], [], [3], [0, 1], [0]]",3.2336302069903917,5,(x[0]**Constant),(x[0]**0.10869685647585836),3.2401044930899356,{'errortest': 3.4345830473935446},"[1, 1, 1, 0, 0, 0, 1, 1]"
"[[0], [2], [2], [2, 0], [2, 2], [0], [0, 1], [0]]",3.2418630835206135,7,(((x[0]**Constant)**Constant)**Constant),(((x[0]**0.5695231529395473)**0.29736256895186874)**0.9014332674328174),3.246965816459955,{'errortest': 3.4432385439511113},"[1, 1, 1, 1, 1, 0, 1, 1]"
"[[0], [2], [3], [0, 1], [2, 0, 2, 2], [3, 0, 1, 0], [1, 1, 0, 0, 0], [0]]",3.275484719350604,4,(Constant**Constant),(0.8894863097470181**0.6710080926946128),3.283801831108922,{'errortest': 3.473531344973726},"[1, 1, 1, 0, 0, 0, 1, 0]"
"[[0], [0], [3, 3], [3, 2, 0, 2], [], [3], [1, 1], [0, 0, 0, 0, 0]]",3.284023131938377,4,Constant/Constant,0.5189620074797061/0.5676057349803215,3.292128573161923,{'errortest': 3.481834176137031},"[1, 1, 2, 0, 0, 1, 2, 0]"
"[[0], [3], [3, 3], [], [], [2, 3, 3, 2, 0, 0, 2, 0], [0, 0, 0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0]]",3.3547616780833374,4,x[0],x[0],3.336237447989723,{'errortest': 3.5619261283956742},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [2], [0, 2], [3, 2], [2, 2, 2], [2, 3], [0, 1, 1, 1], [0]]",3.379610031391726,6,(x[0]*(Constant**Constant)**Constant),(x[0]*(0.9239336182368036**0.5902164224131954)**0.8363086923488213),3.3612247483358693,{'errortest': 3.5856986860100437},"[1, 1, 1, 2, 1, 1, 2, 1]"
"[[0], [2], [3], [], [], [], [1, 0, 0, 1, 1, 0], [0]]",3.386644013045587,4,(Constant**Constant),(0.5217150719420507**0.3556871313193919),3.392302374892789,{'errortest': 3.581691089414795},"[1, 1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [0, 0], [3, 2], [1, 1, 1, 0], [2, 3, 3, 2, 0, 0, 2, 0], [1, 0, 0, 0, 0, 1, 1, 1, 0], [0, 0]]",3.534761641176507,7,(Constant*((x[0]/x[0])**Constant)**Constant),(0.6212601565009136*((x[0]/x[0])**0.3450903027133907)**0.2342604217939781),3.5371764775115837,{'errortest': 3.7260299658885647},"[1, 1, 1, 2, 1, 2, 3, 2]"
"[[0], [0], [3, 0], [3, 3], [1], [1, 0, 0, 2, 3, 0], [1, 1, 0, 0, 0], [0, 1, 1, 1]]",3.5980800130270842,6,Constant-Constant+x[0],0.29325714014345206-0.5927914514850151+x[0],3.572615531991262,{'errortest': 3.7989676275460993},"[1, 1, 2, 2, 0, 2, 3, 1]"
"[[0], [2], [0], [2, 1], [2, 0, 2, 2], [3, 0, 0], [1, 1, 1, 1], [1, 1]]",3.6545766901765604,6,((Constant**Constant)/(Constant+Constant+Constant)**Constant),((0.669576124092934**0.8235668219965615)/(0.45907625813781305+0.8102457078502324+0.718460572820361)**0.5761253805151556),3.654587772746722,{'errortest': 3.842959372326906},"[1, 1, 1, 2, 3, 3, 4, 0]"
"[[0], [0], [0, 2], [3, 2, 0], [2, 2, 2], [0, 1, 3], [0, 1, 1, 1], [0, 1, 1]]",3.7456184437469076,6,x[0]+(Constant**Constant)-(Constant/Constant**Constant),x[0]+(0.7269658738633764**0.44396370292233833)-(0.9585507242334681/0.5866010625387577**0.634242110267444),3.716506156102596,{'errortest': 3.942966532348973},"[1, 1, 2, 3, 3, 3, 4, 1]"
"[[0], [0], [3, 0], [3, 3], [1, 1, 1, 0], [2, 3, 3, 2, 0, 0, 2, 0], [1, 1, 0, 0, 0], [0, 0, 0, 0, 0]]",3.7960516811303386,6,Constant*Constant/x[0],0.9238489420908871*0.2648988016467986/x[0],3.8016468942900477,{'errortest': 3.974752294156366},"[1, 1, 2, 2, 0, 2, 3, 1]"
"[[0], [3], [], [3], [], [0, 1, 3], [1, 0, 0, 1, 1, 0], [1]]",3.8610268840640964,3,Constant,0.24996277707627224,3.8572927173583964,{'errortest': 4.044767632552933},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [0], [2, 0], [2, 3, 3], [2, 0, 2, 2], [2, 3], [0, 0, 0], [1, 0, 1]]",4.084717002507328,7,((x[1]**Constant)**Constant)*x[0]/x[1],((x[1]**0.01587715605454032)**0.5758396728183706)*x[0]/x[1],4.07740708958326,{'errortest': 4.263856179775805},"[1, 1, 2, 3, 1, 2, 3, 3]"
"[[0], [2], [1], [3, 3], [2, 2, 2], [2, 3], [0, 1], [1]]",6.190214149954838,6,((x[1]*Constant)**Constant),((x[1]*0.3119800234063419)**0.31957003170742915),6.393789810218026,{'errortest': 6.173996575604957},"[1, 1, 1, 2, 0, 1, 2, 1]"
"[[0], [2], [0], [2, 0], [2, 2, 2], [3, 3], [0, 1, 1], [1, 1, 0]]",18.58504946374558,7,((x[1]**Constant)/Constant/Constant**Constant),((x[1]**0.2756063217991861)/0.43845153494743727/0.9385914835451847**0.22918459636056399),18.94248349155564,{'errortest': 18.50617858487225},"[1, 1, 1, 2, 3, 2, 3, 1]"
"[[0], [2], [2], [3], [], [0, 1, 3], [0, 1, 1, 1], [1]]",22.13315237423515,6,((x[1]**Constant)**Constant),((x[1]**0.6835182545351133)**0.5771769117965836),22.6602706726458,{'errortest': 22.048078444197234},"[1, 1, 1, 1, 0, 0, 1, 1]"
"[[0], [2], [2], [3, 2], [], [0, 0], [0, 1, 1], [1]]",22.574954770623812,6,((x[1]**Constant)**Constant),((x[1]**0.687083237671074)**0.5771774492691483),23.112389506940115,{'errortest': 22.48912746938023},"[1, 1, 1, 1, 0, 0, 1, 1]"
"[[0], [2], [3, 3], [3], [], [0, 1, 3], [0, 1, 1, 1], [1]]",37.05138297953125,5,(x[1]**Constant),(x[1]**0.4495816648916441),37.941404412887636,{'errortest': 36.94644285067828},"[1, 1, 1, 0, 0, 0, 1, 1]"
"[[0], [2], [2, 3], [2], [2, 0, 0], [2, 0, 3, 3], [0, 1, 0, 0, 0], [1, 1, 0]]",44.88816847994783,7,(((x[1]**Constant)**Constant)**Constant),(((x[1]**0.8949430591727772)**0.6525143076347932)**0.8060793331901539),45.977539923878076,{'errortest': 44.775156318884605},"[1, 1, 1, 1, 1, 0, 1, 1]"
"[[0], [2], [0], [2, 0], [2, 2, 1], [3, 0, 1, 0], [1, 1, 0, 0, 0], [1, 0]]",555.0386598054621,7,((Constant**Constant)/Constant+(x[1]-x[0])**Constant),((0.27753623600303423**0.9897135370888295)/0.7245192501056682+(x[1]-x[0])**0.7603438450441791),570.5897998385364,{'errortest': 554.5430446306499},"[1, 1, 1, 2, 3, 3, 4, 2]"
"[[0], [0], [3, 2], [1, 0], [2, 1, 0, 2], [1, 1, 3, 2, 0, 2], [0, 0, 0, 0, 1, 0, 1], [1, 1, 1, 1]]",1443.301700684206,7,x[1]-((x[1]-(x[1]/x[1]))**Constant),x[1]-((x[1]-(x[1]/x[1]))**0.9533471269944199),1477.877192684198,{'errortest': 1441.1411961531605},"[1, 1, 2, 1, 2, 3, 4, 4]"
"[[0], [2], [3, 3], [2, 0], [2, 2, 2], [0], [0, 0], [1]]",2163.5961815357273,5,(x[1]**Constant),(x[1]**0.918826567029995),2222.8183509909463,{'errortest': 2161.5015357826874},"[1, 1, 1, 0, 0, 0, 1, 1]"
"[[0], [2], [0], [1, 1], [1, 0, 0, 0], [2, 2, 0, 1, 2, 2, 1], [0, 1, 1, 1, 0, 1, 0, 0], [0, 0, 1, 1]]",9999999.0,7,(((x[0]*Constant)*Constant+Constant)-(x[0]*Constant*x[1]-x[1])**Constant),(((x[0]*0.5055350245564536)*0.9834243704934813+0.17354254665262547)-(x[0]*0.5810052318030402*x[1]-x[1])**0.40775767836076804),9999999.0,{'errortest': 9999999},"[1, 1, 1, 2, 4, 7, 8, 4]"
"[[0], [2], [0], [2, 0], [1, 1, 2], [1, 3, 1, 2], [1, 0, 0, 0, 1], [1, 1, 0]]",9999999.0,7,(((Constant-x[1])**Constant)/(x[1]-x[0])*Constant**Constant),(((0.7186923912233156-x[1])**0.7733459356365872)/(x[1]-x[0])*0.5981112562316026**0.6399593698472166),9999999.0,{'errortest': 9999999},"[1, 1, 1, 2, 3, 4, 5, 3]"
"[[0], [0], [0, 1], [2, 0, 0, 2], [2, 1, 2, 2, 1, 2], [2, 3, 1, 3, 3, 0, 2], [0, 0, 1, 1, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0]]",20761985.948389042,7,(x[1]**Constant)*(x[1]/Constant)-Constant/(x[0]/(x[0]+x[0])*(x[0]**Constant)),(x[1]**0.7346098076486994)*(x[1]/0.1298410710340714)-0.4548421327854921/(x[0]/(x[0]+x[0])*(x[0]**0.39932788529919894)),20549138.92708851,{'errortest': 20616205.040854905},"[1, 1, 2, 4, 6, 7, 8, 6]"
"[[0], [0], [3, 0], [3, 0], [0, 1], [2, 0, 0, 2, 2, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 1, 1]]",30032232.632843524,7,x[0]*Constant+x[1]+x[0]*(x[1]*x[1]),x[0]*0.42093527655816343+x[1]+x[0]*(x[1]*x[1]),29772419.224136114,{'errortest': 29330273.21186698},"[1, 1, 2, 2, 2, 5, 6, 5]"
