genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [2], [0], [1, 3], [1, 0], [3, 2, 0, 2], [1, 1, 1, 1, 0], [0]]",5.203937885522129,"[1, 1, 1, 2, 2, 4, 5, 1]",6,(((Constant/Constant)*Constant+Constant)*x[0]**Constant),(((0.8430290526405367/0.48314451663907154)*0.7592915496439295+0.09648373573402347)*x[0]**0.9565354801936641),5.9552102355522605,{'errortest': 6.269389559659801}
"[[0], [2], [0], [3, 3], [], [3], [0, 1], [0]]",5.205106816425525,"[1, 1, 1, 2, 0, 1, 2, 1]",6,(x[0]/Constant**Constant),(x[0]/0.2943757450671859**0.299381594317917),5.957754878091139,{'errortest': 6.273458123742219}
"[[0], [3], [2, 0], [], [], [], [1], []]",5.227221067459362,"[1, 1, 0, 0, 0, 0, 1, 0]",3,Constant,0.9418515194172662,5.9516081050057945,{'errortest': 6.233817631674368}
"[[0], [2], [3, 3], [3, 3], [], [3], [1, 0], [0]]",5.324361101656004,"[1, 1, 1, 0, 0, 0, 1, 0]",4,(Constant**Constant),(0.4960290926642834**0.27819831600551403),6.053450394964118,{'errortest': 6.339620128825663}
"[[0], [2], [3], [], [], [3], [0], [0]]",5.4129270380198555,"[1, 1, 1, 0, 0, 0, 1, 1]",5,(x[0]**Constant),(x[0]**0.8991859961597015),6.169743640887443,{'errortest': 6.485313139544416}
"[[0], [2], [0], [3, 2], [1], [2, 3, 1], [0, 0, 1, 1], [0, 0]]",5.425445435636984,"[1, 1, 1, 2, 1, 2, 3, 2]",7,(x[0]*((x[0]/Constant)**Constant)**Constant),(x[0]*((x[0]/0.5829159577025964)**0.12135802308761978)**0.3462454227451608),6.186842985388932,{'errortest': 6.506905783529191}
"[[0], [3], [], [], [], [], [0], [0]]",5.430558815405122,"[1, 1, 0, 0, 0, 0, 1, 1]",4,x[0],x[0],6.190770292963994,{'errortest': 6.509551127083899}
"[[0], [3], [], [], [], [], [0], [0]]",5.430558815405122,"[1, 1, 0, 0, 0, 0, 1, 1]",4,x[0],x[0],6.190770292963994,{'errortest': 6.509551127083899}
"[[0], [3], [], [], [], [], [0], [0]]",5.430558815405122,"[1, 1, 0, 0, 0, 0, 1, 1]",4,x[0],x[0],6.190770292963994,{'errortest': 6.509551127083899}
"[[0], [2], [2], [3], [], [], [1], [0]]",5.527171343106498,"[1, 1, 1, 1, 0, 0, 1, 0]",5,((Constant**Constant)**Constant),((0.35190993985192276**0.8569894015460838)**0.613379203669549),6.2651578676391315,{'errortest': 6.559004592764086}
"[[0], [3], [], [], [], [], [1], [0]]",5.559078568958413,"[1, 1, 0, 0, 0, 0, 1, 0]",3,Constant,0.5393208748478665,6.298362450179254,{'errortest': 6.593350296477544}
"[[0], [3], [], [], [], [], [1], []]",5.81753708388636,"[1, 1, 0, 0, 0, 0, 1, 0]",3,Constant,0.2330726053092168,6.566440164386056,{'errortest': 6.870080857804408}
"[[0], [3], [3, 3], [0, 3, 1, 1], [2, 2, 1, 2, 1, 1], [0, 3, 2, 2, 3, 0, 3, 3, 1], [1, 0], [0]]",5.878031722637931,"[1, 1, 0, 0, 0, 0, 1, 0]",3,Constant,0.16216794435787218,6.628978809523707,{'errortest': 6.934505170617915}
"[[0], [1], [3, 3], [], [], [1], [1, 1], [1]]",6.299096952046757,"[1, 1, 2, 0, 0, 1, 2, 0]",4,(Constant-Constant),(0.005180271722319163-0.3296636628802553),7.062477265812925,{'errortest': 7.3798863488812065}
"[[0], [2], [0], [0, 3], [1, 2], [2, 3, 1], [0, 1, 0, 1, 1, 0], [0, 0]]",6.495155212291046,"[1, 1, 1, 2, 2, 3, 4, 2]",7,((x[0]*Constant)/x[0]-Constant**Constant),((x[0]*0.4509907535957184)/x[0]-0.9090504339914793**0.015432253251654204),7.263420980285683,{'errortest': 7.585720579383813}
