genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [1], [0, 1], [1, 2, 1, 1], [2, 3, 3, 1, 3, 1], [1, 0, 1, 1, 1, 1, 0], [0, 0]]",537.1127115701325,6,((Constant*x[0])/Constant/((Constant-Constant)/(Constant-x[0]))) * (x[1]**Constant) * (x[2]),((0.10348459542268318*x[0])/0.8397347048887935/((0.4523305090932862-0.33529177088685447)/(0.07447585262890222-x[0]))) * (x[1]**0.7586355368935321) * (x[2]),570.9250289777825,{'errortest': 530.9301502871813},"[1, 1, 2, 4, 6, 7, 2]"
"[[0], [0], [0, 1], [2, 2, 0, 2], [1, 3, 2, 2], [0, 1, 1, 1, 0], [0, 0]]",630.3672255481057,6,x[0]-Constant/(Constant*Constant*x[0]) * (x[1]**Constant) * (x[2]),x[0]-0.44907874730653397/(0.8606644997492872*0.2140297826786708*x[0]) * (x[1]**0.6786977912590461) * (x[2]),629.5694351299558,{'errortest': 636.0080915352414},"[1, 1, 2, 4, 4, 5, 2]"
"[[0], [3], [], [], [], [1], []]",672.1967046662922,3,Constant * (x[1]**Constant) * (x[2]),0.7777467172243352 * (x[1]**0.8628174175349606) * (x[2]),689.3979754593611,{'errortest': 671.034258402263},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [1], [3, 1], [2, 0], [0, 1, 0], [1, 1, 0, 0], [0, 0]]",801.1523856406617,6,(Constant+(Constant-x[0]+x[0])) * (x[1]**Constant) * (x[2]),(0.04432976047184034+(0.31881100030063425-x[0]+x[0])) * (x[1]**0.9700974286156345) * (x[2]),820.6432611537225,{'errortest': 799.6803508196466},"[1, 1, 2, 2, 3, 4, 2]"
"[[0], [0], [3, 1], [2, 2], [0, 0], [0, 1, 1], [0]]",854.415748481156,5,x[0]+(Constant+Constant) * (x[1]**Constant) * (x[2]),x[0]+(0.6610929899803473+0.30996315876074587) * (x[1]**0.8625445875037422) * (x[2]),876.6041782022222,{'errortest': 853.0934533957279},"[1, 1, 2, 2, 2, 3, 1]"
"[[0], [3], [], [], [], [0], [0]]",1365.677300459471,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.9027229496993456) * (x[2]),1435.203137239589,{'errortest': 1350.3868745105785},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [0], [0]]",1537.227195282385,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.9159060844611775) * (x[2]),1615.1003507864875,{'errortest': 1519.9675207212347},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [0], [0]]",1930.9899288621182,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.9414567242256132) * (x[2]),2027.796013491653,{'errortest': 1909.1487596199793},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [1], [3, 3], [], [3], [0, 1], [0]]",3850.0117472079796,5,(x[0]/Constant) * (x[1]**Constant) * (x[2]),(x[0]/0.16506673379059256) * (x[1]**0.8102818010964726) * (x[2]),4050.107834994142,{'errortest': 3811.4596004648556},"[1, 1, 2, 0, 1, 2, 1]"
"[[0], [1], [0, 1], [2, 2, 1, 0], [0, 0, 0, 2, 3], [0, 1, 0, 0, 1, 1], [0, 0, 0]]",6574.020904677612,6,(x[0]+Constant+((x[0]+x[0])*Constant/Constant)) * (x[1]**Constant) * (x[2]),(x[0]+0.9237239022250833+((x[0]+x[0])*0.45949499165051133/0.3955812983492356)) * (x[1]**0.915518652207777) * (x[2]),6879.259457736603,{'errortest': 6514.882167028951},"[1, 1, 2, 4, 5, 6, 3]"
"[[0], [2], [1], [2, 0], [1, 2], [1, 0, 1], [0]]",9999999.0,6,((Constant-x[0]*Constant)**Constant) * (x[1]**Constant) * (x[2]),((0.08743673368783667-x[0]*0.676761778250906)**0.0014850311735595811) * (x[1]**0.6137342932434685) * (x[2]),9999999.0,{'errortest': 9999999},"[1, 1, 1, 2, 2, 3, 1]"
