genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [3], [3, 1], [2, 0, 0, 2], [2, 0, 3, 2], [0, 0, 1, 1], [0, 0]]",380.1668513501385,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.766017485482258) * (x[2]),400.26307631548207,{'errortest': 375.7591895898673}
"[[0], [0], [3, 3], [2, 0, 0, 2], [3, 0, 3, 2], [1, 0, 1, 0, 1], [0, 0]]",411.94374112565407,"[1, 1, 2, 0, 1, 2, 1]",5,Constant/x[0] * (x[1]**Constant) * (x[2]),0.4229441673263149/x[0] * (x[1]**0.8635206243443241) * (x[2]),407.53506405733776,{'errortest': 414.67780950221425}
"[[0], [3], [3, 0], [], [3, 0, 2, 2, 0], [0, 0, 1, 1], [0, 0]]",456.58195943862444,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.7846780617255048) * (x[2]),480.62080289054774,{'errortest': 451.3625343266131}
"[[0], [3], [], [1, 0], [0, 0, 0], [0], [0, 0]]",472.9831391536691,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.7883197785427042) * (x[2]),497.86526482476677,{'errortest': 467.5887610756779}
"[[0], [0], [3, 2], [2, 0, 0, 2], [2, 0, 3, 2], [1, 1, 0, 0], [0, 0, 0, 0]]",698.3533507707904,"[1, 1, 2, 1, 1, 2, 0]",5,Constant*(Constant**Constant) * (x[1]**Constant) * (x[2]),0.705170087118654*(0.2218667903666942**0.6765685311350403) * (x[1]**0.9966006790936763) * (x[2]),714.7493841661446,{'errortest': 696.9273017680835}
"[[0], [0], [1, 2], [2, 2, 0], [2, 1, 2], [0, 0, 1, 0], [0, 0, 0]]",759.3425232601269,"[1, 1, 2, 3, 3, 4, 3]",6,(x[0]*x[0])-(Constant*x[0]**Constant) * (x[1]**Constant) * (x[2]),(x[0]*x[0])-(0.8439527714385971*x[0]**0.06140976307466084) * (x[1]**0.8462292155361486) * (x[2]),782.4982568535311,{'errortest': 758.8288787566996}
"[[0], [3], [], [], [2], [1], [0]]",883.3413099878733,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.3900111745303867 * (x[1]**0.972327521882574) * (x[2]),904.9292141784639,{'errortest': 881.7767323140287}
"[[0], [3], [], [], [], [0], [0]]",1084.4779239633272,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.8772154593748724) * (x[2]),1140.1756771930761,{'errortest': 1072.3745099600542}
"[[0], [0], [3, 1], [2, 0, 0, 2], [1, 0, 1], [0, 0, 1, 1], [0, 0]]",1336.9585300572692,"[1, 1, 2, 2, 3, 4, 2]",6,x[0]-(x[0]+Constant-Constant) * (x[1]**Constant) * (x[2]),x[0]-(x[0]+0.4217493333067631-0.3149882300484852) * (x[1]**0.8787860010781294) * (x[2]),1402.87087192095,{'errortest': 1325.1241699890131}
"[[0], [2], [3], [1, 0], [], [0], [0, 0]]",1865.7477670416804,"[1, 1, 1, 0, 0, 1, 1]",5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),(x[0]**0.7773782490495234) * (x[1]**0.9406516625914544) * (x[2]),1951.8874151198665,{'errortest': 1847.738560509234}
