   0,3.094281e-01,3.424363e+03,1.726649e+04, 100
   0,5.497255e-01,1.870648e+04,1.215738e+05, 100
   1,2.700712e-01,4.782523e+03,3.126267e+04, 100
   2,2.554837e-01,2.843876e+02,1.271616e+03, 100
   0,3.987748e-01,4.641996e+03,1.082489e+04, 100
   1,3.987748e-01,2.862742e+03,1.544197e+04, 100
   2,3.075101e-01,5.714688e+02,1.423956e+03, 100
   0,2.551562e-01,1.482970e+03,2.550808e+03, 100
   1,2.551562e-01,2.653148e+03,1.354580e+04, 100
   2,2.551562e-01,8.658203e+03,5.383349e+04, 100
   0,4.417416e-01,2.095507e+04,1.360670e+05, 100
   1,4.089983e-01,3.006432e+02,1.141261e+03, 100
