,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [2], [0], [3, 2], [1], [2, 0], [1, 0, 0], [1, 1]]",0.4089982926074072,7,(Constant*((x[1]+x[1])**Constant)**Constant),"[1, 1, 1, 2, 1, 2, 3, 2]",(0.79737056490749*((x[1]+x[1])**0.855710061423936)**0.12846848774818576),[0.79737056 0.85571006 0.12846849],0.42618945303693917,"{'fitness 25': 0.4089982926074072, 'fitness 53': 0.43390011819578383, 'fitness 74': 0.4241368890607437, 'fitness 102': 0.42053135185428986}",False
1,"[[0], [2], [1], [3, 3], [], [3], [1, 1], []]",0.44174160479639096,5,((Constant/Constant)**Constant),"[1, 1, 1, 2, 0, 1, 2, 0]",((0.9024661991713332/0.46462389867584997)**0.5833782031038917),[0.9024662 0.4646239 0.5833782],0.5456086489601552,"{'fitness 25': 0.44174160479639096, 'fitness 53': 0.5432714733519416, 'fitness 74': 0.5483797541874408, 'fitness 102': 0.5451747193410832}",False
2,"[[0], [2], [1], [3, 2], [1], [2, 1], [1, 0, 0], [1, 0]]",0.4888606377977757,7,((Constant*((x[1]-x[0])**Constant))**Constant),"[1, 1, 1, 2, 1, 2, 3, 2]",((0.6239120225070973*((x[1]-x[0])**0.11084282133626311))**0.8563946866645429),[0.62391202 0.11084282 0.85639469],0.6171119461052168,"{'fitness 25': 0.4888606377977757, 'fitness 53': 0.6062925056180422, 'fitness 74': 0.6217412366679325, 'fitness 102': 0.6233020960296758}",False
3,"[[0], [2], [1], [3, 1], [1, 1], [0, 1, 0, 3], [1, 1, 1, 0, 0], [0, 1]]",0.6953465885021491,7,((Constant+((Constant-Constant)+(x[0]/x[1])))**Constant),"[1, 1, 1, 2, 2, 4, 5, 2]",((0.8500321937877363+((0.9893143913648824-0.3496678281981961)+(x[0]/x[1])))**0.4298386097940019),[0.85003219 0.98931439 0.34966783 0.42983861],0.795695146149801,"{'fitness 25': 0.6953465885021491, 'fitness 53': 0.7906221678241198, 'fitness 74': 0.7998237573331453, 'fitness 102': 0.7966395132921382}",False
4,"[[0], [0], [3, 1], [0, 2], [0, 1, 0], [3, 2, 2, 3, 1, 2], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 0]]",0.7112765446578337,7,x[1]/(x[0]*x[1]*(x[0]/x[0])-(x[0]*Constant**Constant)),"[1, 1, 2, 2, 3, 6, 7, 6]",x[1]/(x[0]*x[1]*(x[0]/x[0])-(x[0]*0.6992461095915452**0.7284361303076218)),[0.69924611 0.72843613],0.7786503242626138,"{'fitness 25': 0.7112765446578337, 'fitness 53': 0.7673857204553495, 'fitness 74': 0.794032988314435, 'fitness 102': 0.7745322640180571}",False
5,"[[0], [1], [2, 1], [1, 2, 3], [2, 0, 0], [2, 2, 3, 2, 3, 0, 3], [1, 1, 1, 1, 0, 0], [0, 0, 1, 1, 0]]",0.8423870590076767,7,(((Constant*Constant*Constant)**Constant)/((Constant*x[0]**Constant)/x[0])),"[1, 1, 2, 3, 3, 5, 6, 2]",(((0.30283514902490083*0.16468653621349927*0.33019909844889006)**0.5381409654242759)/((0.08241501405710916*x[0]**0.007176001994494419)/x[0])),[0.30283515 0.16468654 0.3301991  0.53814097 0.08241501 0.007176  ],0.9410221394557866,"{'fitness 25': 0.8423870590076767, 'fitness 53': 0.9461988719512695, 'fitness 74': 0.9306425969101094, 'fitness 102': 0.9462249495059808}",False
6,"[[0], [2], [3], [], [], [], [1], []]",0.8859897860106334,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.9593375055225994**0.3537158679529788),[0.95933751 0.35371587],0.9837820878259739,"{'fitness 25': 0.8859897860106334, 'fitness 53': 0.9776894924098856, 'fitness 74': 0.9883965921639398, 'fitness 102': 0.9852601789040961}",False
7,"[[0], [2], [3], [], [], [], [1], []]",0.8907800808606737,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.3319225184323694**0.01792646954558308),[0.33192252 0.01792647],0.9885149822391912,"{'fitness 25': 0.8907800808606737, 'fitness 53': 0.9824026302600524, 'fitness 74': 0.9931388065265055, 'fitness 102': 0.9900035099310159}",False
8,"[[0], [2], [3], [], [], [], [1], [0]]",0.8979362460568232,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.9502381593649524**0.5370649062654143),[0.95023816 0.53706491],0.9955860541524456,"{'fitness 25': 0.8979362460568232, 'fitness 53': 0.9894445859630749, 'fitness 74': 1.0002236055017004, 'fitness 102': 0.9970899709925615}",False
9,"[[0], [2], [3], [], [], [], [1], [0]]",0.9028132374750045,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.9484164652429173**0.6165324689454132),[0.94841647 0.61653247],1.0004055020079508,"{'fitness 25': 0.9028132374750045, 'fitness 53': 0.9942444588641324, 'fitness 74': 1.005052276610042, 'fitness 102': 1.0019197705496783}",False
10,"[[0], [2], [3], [], [], [], [0], [0]]",0.9243240054134552,5,(x[0]**Constant),"[1, 1, 1, 0, 0, 0, 1, 1]",(x[0]**0.2958410065871139),[0.29584101],1.0242562072204493,"{'fitness 25': 0.9243240054134552, 'fitness 53': 1.020539940609179, 'fitness 74': 1.0248879377380689, 'fitness 102': 1.0273407433141}",False
