genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [2], [2], [0, 3], [0, 1], [0, 3, 2], [0, 1, 0, 1], [0, 0]]",5.061580600874582,7,((x[0]+Constant/(x[0]*Constant)**Constant)**Constant),((x[0]+0.8834833962640157/(x[0]*0.782240502085127)**0.4837024381604099)**0.20700295759432585),5.7789969486851245,{'errortest': 6.055480353728532},"[1, 1, 1, 1, 2, 3, 4, 2]"
"[[0], [2], [1], [3, 1], [1, 1], [0, 0, 2, 0], [1, 1, 1, 1, 1], [0, 0]]",5.082955688989505,6,((Constant+((Constant+Constant)*(Constant+Constant)))**Constant),((0.08589273651904339+((0.7935614481026417+0.9215669740832424)*(0.350947128010886+0.537519969252164)))**0.23958782978716697),5.799753888803838,{'errortest': 6.0756997550439715},"[1, 1, 1, 2, 2, 4, 5, 0]"
"[[0], [2], [1], [1, 2], [1, 1, 2], [0, 2, 0, 2, 1], [1, 1, 1, 0, 1], [1]]",5.12167016666387,7,((((Constant+Constant)*(Constant+x[1]))*(Constant**Constant))**Constant),((((0.002391452230980584+0.6511315034769631)*(0.6545038800658142+x[1]))*(0.4703780949426629**0.05456080061610402))**0.010301334948200735),5.839978449740862,{'errortest': 6.1170038520657535},"[1, 1, 1, 2, 3, 4, 5, 1]"
"[[0], [2], [1], [1, 2], [0, 2, 0], [0, 2, 0, 2], [0, 1, 1, 1, 1, 1], [0]]",5.171535288487239,7,(((x[0]+Constant*Constant)+(Constant*Constant**Constant))**Constant),(((x[0]+0.9053034588579278*0.6205601437142378)+(0.7177675158201076*0.32560282480753877**0.8152872819703101))**0.02518196656288929),5.893447559068799,{'errortest': 6.173713915908331},"[1, 1, 1, 2, 3, 4, 5, 1]"
"[[0], [2], [2], [3], [1, 1, 2], [], [1], [1]]",5.180431660264116,5,((Constant**Constant)**Constant),((0.7697302984810834**0.3014656111569055)**0.005042949229577598),5.902440412534022,{'errortest': 6.182670570684585},"[1, 1, 1, 1, 0, 0, 1, 0]"
"[[0], [2], [3], [3, 2], [], [], [1, 1, 1, 0], []]",5.185979578784768,4,(Constant**Constant),(0.9756461179344318**0.2955212183010255),5.908274353532181,{'errortest': 6.188741747032137},"[1, 1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [2, 0], [1, 2, 2, 2], [2, 0, 1, 2], [0, 3], [1, 0, 0, 1, 1, 0, 1], [0, 1, 0, 1, 1, 1]]",5.187958798413228,7,(((Constant+x[0]/x[1])**Constant)**Constant),(((0.9779143618880043+x[0]/x[1])**0.5070760614154648)**0.8826836182156349),5.910390254451185,{'errortest': 6.190955686336847},"[1, 1, 1, 1, 2, 2, 3, 2]"
"[[0], [2], [1], [3, 2], [0], [3, 2], [1, 1, 0], [0]]",5.190972955349332,7,((Constant/(Constant*x[0]**Constant))**Constant),((0.12418295129133616/(0.15532095574361737*x[0]**0.4485123355110351))**0.7009121153091087),5.906431213557008,{'errortest': 6.177879951223278},"[1, 1, 1, 2, 1, 2, 3, 1]"
"[[0], [3], [1], [3, 0], [1, 0], [0, 2, 1, 0], [1, 1, 1, 1, 1, 1], [0, 0]]",5.206232126411284,3,Constant,0.9677239128746496,5.929561767231582,{'errortest': 6.2108893535295655},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [2], [1], [1, 2], [1, 2, 1], [0, 2, 0, 2, 1], [0, 1, 1, 1, 1, 1], [0, 0]]",5.206297296296471,7,((((x[0]+Constant)*Constant)+((Constant*Constant)**Constant))**Constant),((((x[0]+0.12766343078776932)*0.2082230079848817)+((0.4652026470555305*0.142658056421041)**0.7227591924155057))**0.027886684663205652),5.930035663960543,{'errortest': 6.21182825344961},"[1, 1, 1, 2, 3, 4, 5, 1]"
