genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [0], [2, 2], [2, 3], [1, 1], [3, 3, 0, 3], [0, 1, 0, 1, 1, 0, 0, 0, 0], [1, 0]]",1.577878064438338,"[1, 1, 2, 2, 1, 2, 3, 2]",7,(((x[1]/Constant)**Constant)**Constant)/(x[0]**Constant),(((x[1]/0.6337773114956066)**0.29776805292627295)**0.5615008453390917)/(x[0]**0.939773891777262),1.9162743959081723,{'errortest': 1.8587128925320675}
"[[0], [1], [2, 3], [3, 2], [1, 2, 1], [3, 3, 2], [0, 0, 1, 1, 1], [1, 0]]",1.762988945620287,"[1, 1, 2, 1, 0, 1, 2, 2]",6,((x[1]**Constant)/x[0]),((x[1]**0.2235557623560902)/x[0]),1.6304532232596465,{'errortest': 1.8025669130528492}
"[[0], [2], [0], [1, 2], [0, 1, 2], [3, 3, 2, 2], [1, 0, 1, 0, 1], [0, 0]]",1.9458861344974812,"[1, 1, 1, 2, 3, 4, 5, 2]",7,((Constant/x[0]/(Constant*x[0]))*(Constant**Constant)**Constant),((0.9320220485341105/x[0]/(0.5214273574535835*x[0]))*(0.6642740222833664**0.05316746476841905)**0.5724318991798777),2.4134533080784935,{'errortest': 2.523096816565047}
"[[0], [0], [2, 1], [2, 2, 1], [1, 2, 1, 2], [3, 2, 1, 0, 2], [0, 1, 1, 1, 1, 0], [1, 0]]",2.079607671401086,"[1, 1, 2, 3, 4, 5, 6, 2]",7,(((x[1]/Constant)**Constant)**Constant)*((Constant**Constant)-((Constant+Constant)*x[0])),(((x[1]/0.0922612463548318)**0.5936522920294617)**0.3826162419078194)*((0.682178471583406**0.060196240707096615)-((0.24427761106146673+0.20587159191279802)*x[0])),2.269466989950134,{'errortest': 2.1143955000138046}
"[[0], [2], [2], [1, 2], [1, 2, 1], [3, 2, 3, 3], [0, 0, 1], [1, 0, 1]]",2.436555556761432,"[1, 1, 1, 1, 2, 2, 3, 2]",7,((((x[1]/x[0])*Constant)**Constant)**Constant),((((x[1]/x[0])*0.08756573217061836)**0.8921389202269373)**0.3766025322213913),2.6534017385549062,{'errortest': 2.402930594363731}
"[[0], [2], [2], [1, 2], [2, 0], [3, 2, 3], [0, 0, 1, 1, 1], [1, 0, 1, 1]]",2.529821994084194,"[1, 1, 1, 1, 2, 2, 3, 2]",7,(((x[1]/x[0]*Constant)**Constant)**Constant),(((x[1]/x[0]*0.2467555425088367)**0.7627611617215039)**0.3699173141711296),2.71310557485124,{'errortest': 2.46742530079197}
"[[0], [2], [2], [1, 2], [1, 2, 1], [3, 2, 2, 0], [0, 0, 1], [1, 0]]",2.623773718757422,"[1, 1, 1, 1, 2, 2, 3, 2]",7,((((x[1]/x[0])*Constant)**Constant)**Constant),((((x[1]/x[0])*0.9059759464290483)**0.253514446665576)**0.8938558606700642),2.8382715999878005,{'errortest': 2.6489975096892673}
"[[0], [2], [2], [1, 2], [2, 0, 1], [3, 0, 2, 0], [0, 0, 1, 1, 1], [1, 0, 1]]",2.6239023678891957,"[1, 1, 1, 1, 2, 2, 3, 2]",7,(((x[1]/x[0]+Constant)**Constant)**Constant),(((x[1]/x[0]+0.4653889227331055)**0.2909356238420199)**0.7926838051145028),2.7815833455861196,{'errortest': 2.5488309112037193}
"[[0], [2], [2], [1, 2], [2, 0, 2], [3, 0, 2, 0], [0, 0, 1], [1, 0]]",2.6240357438879762,"[1, 1, 1, 1, 2, 2, 3, 2]",7,(((x[1]/x[0]+Constant)**Constant)**Constant),(((x[1]/x[0]+0.8880505672664025)**0.7799996634108786)**0.2956756570761173),2.7815681171508775,{'errortest': 2.5487406392838157}
"[[0], [2], [2], [2, 2], [1, 2, 1], [3, 3, 2], [0, 0, 1], [1, 0]]",2.626032076547443,"[1, 1, 1, 1, 1, 1, 2, 2]",7,((((x[1]/x[0])**Constant)**Constant)**Constant),((((x[1]/x[0])**0.6336797603113212)**0.811608167749828)**0.450683055861993),2.774287904828685,{'errortest': 2.5342079158819413}
"[[0], [2], [2], [1, 2], [0, 1, 2], [3, 2, 2, 0], [1, 0, 0, 1, 1], [0, 1, 0]]",2.652997606916646,"[1, 1, 1, 1, 2, 3, 4, 2]",7,(((Constant/x[0]*(x[1]*Constant))**Constant)**Constant),(((0.5928746352858231/x[0]*(x[1]*0.7091621234728015))**0.5194041718571352)**0.5307702496921857),2.7181141224151424,{'errortest': 2.4025569490192775}
"[[0], [2], [2], [1, 2], [0, 1, 2], [3, 2, 3], [0, 0, 1, 1, 1], [1, 0, 1, 1]]",2.668214548361424,"[1, 1, 1, 1, 2, 3, 4, 2]",7,(((x[1]/x[0]*(Constant/Constant))**Constant)**Constant),(((x[1]/x[0]*(0.03574560211977096/0.8012683316694971))**0.42472443065835774)**0.7925435063161718),3.0641545859911,{'errortest': 2.9657517052256828}
"[[0], [2], [2], [1, 2], [0, 0], [3, 2, 3], [0, 0, 1, 1, 1], [1, 0, 1, 1]]",2.751896917849558,"[1, 1, 1, 1, 2, 3, 4, 2]",7,(((x[1]/x[0]*Constant/Constant)**Constant)**Constant),(((x[1]/x[0]*0.5959112926109758/0.0705499148749581)**0.5999675334360403)**0.3084856990817012),2.8275297668589165,{'errortest': 2.5691176477185826}
"[[0], [2], [2], [1, 2], [2, 0], [3, 2, 3], [0, 0, 1, 1, 1], [1, 0, 1, 1]]",2.9680922497026607,"[1, 1, 1, 1, 2, 2, 3, 2]",7,(((x[1]/x[0]*Constant)**Constant)**Constant),(((x[1]/x[0]*0.8446019883288488)**0.5531250892263911)**0.4782933033213107),2.917993861531508,{'errortest': 2.559088916870918}
"[[0], [2], [2, 3], [3, 2], [1, 0, 1], [3, 3, 2, 2], [0, 1, 1], [1, 1]]",3.050155582205359,"[1, 1, 1, 1, 0, 0, 1, 1]",6,((x[1]**Constant)**Constant),((x[1]**0.4165502314302397)**0.5550938972549297),3.2655201089519763,{'errortest': 3.061739086735472}
"[[0], [1], [2, 1], [3, 2, 2], [2, 0, 1], [1, 2, 3], [0, 0, 1, 1, 1], [1, 0]]",3.2651075047354907,"[1, 1, 2, 3, 2, 3, 4, 2]",7,((x[1]**Constant)-((x[0]**Constant)*(Constant/Constant**Constant))),((x[1]**0.1948225670863991)-((x[0]**0.38202949687279164)*(0.1519903380257942/0.6488991258430835**0.27975498533848897))),3.719827282288895,{'errortest': 3.7448589271900588}
"[[0], [0], [2, 2], [2, 3], [1, 1], [1, 3, 0, 3], [0, 1, 1, 1, 1, 0, 0, 0, 0], [1, 0]]",3.2938216597465333,"[1, 1, 2, 2, 1, 2, 3, 1]",7,(((x[1]-Constant)**Constant)**Constant)/(Constant**Constant),(((x[1]-0.1494701771438285)**0.2724028395165099)**0.7596485278238047)/(0.6104370305445035**0.731757370172251),3.2915168183659116,{'errortest': 2.9267145859764403}
"[[0], [1], [0, 2], [2, 2, 1], [0, 1, 2, 2], [3, 3, 2, 3, 3], [0, 0, 0, 0, 0, 0], [1, 0, 1, 1, 1, 1]]",3.4052691493192504,"[1, 1, 2, 3, 4, 5, 6, 6]",7,((x[1]/x[0]**Constant)/((x[1]*x[1])**Constant)/((x[1]/x[1])**Constant)),((x[1]/x[0]**0.8153619589571041)/((x[1]*x[1])**0.44746661151589295)/((x[1]/x[1])**0.9160163748536021)),3.9819432129499006,{'errortest': 4.1016146942947875}
"[[0], [2], [2], [3, 2], [1, 2, 1], [3, 3, 0, 3], [0, 1, 1, 1, 1, 0, 0, 0, 0], [1, 1]]",3.4662121527211402,"[1, 1, 1, 1, 0, 0, 1, 1]",6,((x[1]**Constant)**Constant),((x[1]**0.4208392377417639)**0.4126685858407354),3.9786249106110434,{'errortest': 4.064174050353934}
"[[0], [2], [2, 2], [3, 3], [1, 2, 1], [3, 2, 2, 0], [0, 0, 1], [1, 0]]",3.5173198152418172,"[1, 1, 1, 1, 0, 0, 1, 1]",6,((x[1]**Constant)**Constant),((x[1]**0.7766069714668357)**0.21832075713362875),4.042624940569453,{'errortest': 4.140531820492851}
"[[0], [2], [2, 3], [1, 2], [1, 2, 1], [2, 2, 3], [0, 0, 1, 1, 1], [1, 0, 1, 1]]",3.6599901431106687,"[1, 1, 1, 1, 2, 2, 3, 2]",7,((((x[1]*x[0])*Constant)**Constant)**Constant),((((x[1]*x[0])*0.46880628734416185)**0.6344988840656546)**0.43766176956973324),3.828272553007855,{'errortest': 3.5139948191053647}
"[[0], [2], [3], [1, 2], [1, 2, 1], [0, 0, 2, 0], [0, 1, 1, 1, 1], [1, 1, 1]]",3.7338808105909607,"[1, 1, 1, 0, 0, 0, 1, 1]",5,(x[1]**Constant),(x[1]**0.1525051836757939),4.304459259969462,{'errortest': 4.44559372104157}
"[[0], [2], [2, 1], [3, 2], [0, 1, 2], [3, 2, 1, 0, 2], [0, 0, 0, 1, 1], [1, 0]]",3.8606424503297077,"[1, 1, 1, 1, 0, 0, 1, 1]",6,((x[1]**Constant)**Constant),((x[1]**0.6028204187511708)**0.23643168730920272),4.452728208419643,{'errortest': 4.614269039219263}
"[[0], [2], [2], [3, 2], [1, 2, 1], [3, 3, 2, 2], [0, 1, 1, 1, 1, 0], [1, 0]]",3.9847104754569154,"[1, 1, 1, 1, 0, 0, 1, 1]",6,((x[1]**Constant)**Constant),((x[1]**0.8931453562476566)**0.1484330076936996),4.595327902219674,{'errortest': 4.774354032643087}
"[[0], [1], [1, 3], [2, 2], [1, 0, 1], [2, 3, 2, 0], [0, 1, 1, 1, 1], [0, 0, 1, 0]]",3.985804893738566,"[1, 1, 2, 2, 2, 4, 5, 1]",7,((((x[0]*Constant)**Constant)/(Constant*Constant**Constant))+Constant),((((x[0]*0.2376343904529472)**0.7204237951423321)/(0.11717263063405203*0.7618087896628967**0.7684579668655468))+0.7595505968971391),4.401919861770633,{'errortest': 4.4952914571313904}
"[[0], [2], [2], [1, 2], [2, 2, 1], [0, 2, 3, 3], [0, 0, 0], [1, 1, 1]]",3.991797991019892,"[1, 1, 1, 1, 2, 1, 2, 2]",7,(((x[1]+x[1])**Constant)**Constant),(((x[1]+x[1])**0.5146646271963341)**0.5001453004434215),3.8585952579302236,{'errortest': 3.3484038422526607}
"[[0], [2], [2], [1, 2], [1, 2, 1], [3, 0, 2, 0], [0, 0, 1], [1, 0]]",4.2726780013309025,"[1, 1, 1, 1, 2, 2, 3, 2]",7,((((x[1]/x[0])+Constant)**Constant)**Constant),((((x[1]/x[0])+0.11644339297462758)**0.7386151542624236)**0.13629605885692875),4.92000711902325,{'errortest': 5.130896245338288}
